Name,Price,Kilometers,Fuel
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,Rs. 40 Lakh,"58,182",Diesel
2021 Mercedes-Benz GLS 400d 4MATIC [2020-2023],Rs. 98 Lakh,"13,129",Diesel
2024 BMW X5 xDrive30d xLine,Rs. 82 Lakh,"17,056",Diesel
2023 BMW X3 xDrive20d M Sport,Rs. 58 Lakh,"31,464",Diesel
2021 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],Rs. 53 Lakh,"30,817",Petrol
2022 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],Rs. 57 Lakh,"44,692",Petrol
2022 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],Rs. 62 Lakh,"13,500",Petrol
2023 BMW 3 Series Gran Limousine 320Ld M Sport [2023],Rs. 44 Lakh,"28,485",Diesel
2024 BMW iX xDrive 50,Rs. 90 Lakh,"17,027",Electric
2022 Lexus ES 300h Luxury,Rs. 47 Lakh,"35,000",Hybrid (Electric + Petrol)
2019 BMW 3-Series 320d Luxury Line,Rs. 17 Lakh,"61,699",Diesel
2024 BMW X1 sDrive18i M Sport,Rs. 47 Lakh,"17,025",Petrol
2022 Audi A4 Premium Plus 40 TFSI [2021-2024],Rs. 29 Lakh,"38,176",Petrol
2023 Lexus ES 300h Luxury,Rs. 55 Lakh,"23,174",Hybrid (Electric + Petrol)
2023 Mini Cooper SE 3-Door,Rs. 35 Lakh,"8,850",Electric
2023 BMW iX xDrive 40,Rs. 76 Lakh,"17,993",Electric
2024 BMW 3-Series 320Ld M Sport [2023],Rs. 51 Lakh,"17,783",Diesel
2013 Audi A6 2.0 TDI Premium,Rs. 6.75 Lakh,"94,000",Diesel
2021 Mahindra Thar LX Hard Top Petrol AT,Rs. 11.95 Lakh,"30,000",Petrol
2023 Mahindra Thar LX Hard Top Petrol AT,Rs. 13.75 Lakh,"14,000",Petrol
2024 Mahindra Thar LX Hard Top Petrol AT,Rs. 13.95 Lakh,"11,000",Petrol
2020 Honda City V Petrol,Rs. 7.9 Lakh,"46,000",Petrol
2011 Honda City 1.5 V MT,Rs. 2.85 Lakh,"70,000",Petrol
2021 Hyundai Verna SX (O) 1.5 VTVT IVT,Rs. 12.29 Lakh,"23,000",Petrol
2022 Mahindra Thar LX Hard Top Diesel MT 4WD,Rs. 12.95 Lakh,"28,000",Diesel
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,Rs. 42 Lakh,"55,000",Diesel
2011 Honda City 1.5 V MT,Rs. 2.85 Lakh,"70,000",Petrol
2020 Honda City V Petrol,Rs. 7.9 Lakh,"46,000",Petrol
2017 Audi A4 35 TDI Technology,Rs. 22.5 Lakh,"52,000",Diesel
2024 Hyundai Creta S 1.5 Diesel,Rs. 16.5 Lakh,"6,000",Diesel
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,Rs. 42 Lakh,"57,000",Diesel
2019 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],Rs. 18 Lakh,"53,000",Diesel
2018 Toyota Innova Crysta GX 2.4 AT 7 STR,Rs. 16.75 Lakh,"80,000",Diesel
2022 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Rs. 13.9 Lakh,"51,000",Diesel
2022 Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],Rs. 16.5 Lakh,"50,000",Petrol
2023 Toyota Fortuner 4X4 AT 2.8 Diesel,Rs. 40 Lakh,"58,182",Diesel
2021 Mercedes-Benz GLS 400d 4MATIC [2020-2023],Rs. 98 Lakh,"13,129",Diesel
2024 BMW X5 xDrive30d xLine,Rs. 82 Lakh,"17,056",Diesel
2023 BMW X3 xDrive20d M Sport,Rs. 58 Lakh,"31,464",Diesel
2021 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],Rs. 53 Lakh,"30,817",Petrol
2022 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],Rs. 57 Lakh,"44,692",Petrol
2022 Mercedes-Benz E-Class E 200 Exclusive [2019-2019],Rs. 62 Lakh,"13,500",Petrol
2023 BMW 3 Series Gran Limousine 320Ld M Sport [2023],Rs. 44 Lakh,"28,485",Diesel
2024 Mercedes-Benz GLC 300 4MATIC,Rs. 66 Lakh,"25,575",Petrol
2025 Mini Cooper Classic Trim,Rs. 45 Lakh,"6,201",Petrol
2025 Mercedes-Benz EQE SUV 500 4MATIC,Rs. 90 Lakh,"8,500",Electric
2023 Mercedes-Benz EQE SUV 500 4MATIC,Rs. 85 Lakh,"16,778",Electric
2023 Mercedes-Benz EQE SUV 500 4MATIC,Rs. 85 Lakh,"19,000",Electric
2024 Volvo XC40 Ultimate AWD,Rs. 40 Lakh,"20,075",Electric
2024 Mercedes-Benz EQE SUV 500 4MATIC,Rs. 90 Lakh,"7,554",Electric
2022 Porsche Cayenne Platinum Edition [2022-2023],Rs. 1.1 Crore,"42,939",Petrol
2022 BMW X5 xDrive30d xLine,Rs. 68 Lakh,"44,266",Diesel
2024 BMW i5 M60 xDrive,Rs. 90 Lakh,"5,322",Electric
2024 Lexus RX 350h Luxury,Rs. 92 Lakh,"11,803",Hybrid (Electric + Petrol)
2019 Audi A3 35 TFSI Premium Plus,Rs. 19 Lakh,"55,419",Petrol
2025 Mercedes-Benz GLE 450 4MATIC LWB,Rs. 95 Lakh,"6,423",Mild Hybrid(Electric + Petrol)
2020 Kia Carnival Limousine Plus 7 STR,Rs. 24 Lakh,"70,000",Diesel
2024 Mercedes-Benz GLC 300 4MATIC,Rs. 70 Lakh,"6,652",Petrol
2024 BMW 3 Series Gran Limousine 330Li M Sport,Rs. 53 Lakh,"15,743",Petrol
2023 BMW 5-Series 530i M Sport,Rs. 52 Lakh,"29,278",Petrol
2023 BMW 3 Series Gran Limousine 330Li M Sport [2023],Rs. 52 Lakh,"13,039",Petrol
2024 Mercedes-Benz EQA 250 Plus,Rs. 49 Lakh,"7,317",Electric
2024 Volvo XC60 B5 Ultimate,Rs. 53 Lakh,"29,000",Petrol
2024 Land Rover Range Rover Velar HSE Dynamic 2.0 Petrol,Rs. 82 Lakh,"13,633",Petrol
2024 Mercedes-Benz EQA 250 Plus,Rs. 49 Lakh,"7,441",Electric
2022 Mercedes-Benz A-Class Limousine 200,Rs. 32.5 Lakh,"23,321",Petrol
2021 Volvo XC40 T4 R-Design,Rs. 28 Lakh,"29,596",Petrol
2024 BMW iX xDrive 50,Rs. 90 Lakh,"17,027",Electric
2022 Lexus ES 300h Luxury,Rs. 47 Lakh,"35,000",Hybrid (Electric + Petrol)
2019 BMW 3-Series 320d Luxury Line,Rs. 17 Lakh,"61,699",Diesel
2024 BMW X1 sDrive18i M Sport,Rs. 47 Lakh,"17,025",Petrol
2022 Audi A4 Premium Plus 40 TFSI [2021-2024],Rs. 29 Lakh,"38,176",Petrol
2023 Lexus ES 300h Luxury,Rs. 55 Lakh,"23,174",Hybrid (Electric + Petrol)
2023 Mini Cooper SE 3-Door,Rs. 35 Lakh,"8,850",Electric
2023 BMW iX xDrive 40,Rs. 76 Lakh,"17,993",Electric
2024 BMW 3-Series 320Ld M Sport [2023],Rs. 51 Lakh,"17,783",Diesel
2024 Mercedes-Benz GLC 300 4MATIC,Rs. 66 Lakh,"25,575",Petrol
2025 Mini Cooper Classic Trim,Rs. 45 Lakh,"6,201",Petrol
2025 Mercedes-Benz EQE SUV 500 4MATIC,Rs. 90 Lakh,"8,500",Electric
2023 Mercedes-Benz EQE SUV 500 4MATIC,Rs. 85 Lakh,"16,778",Electric
2023 Mercedes-Benz EQE SUV 500 4MATIC,Rs. 85 Lakh,"19,000",Electric
2024 Volvo XC40 Ultimate AWD,Rs. 40 Lakh,"20,075",Electric
2024 Mercedes-Benz EQE SUV 500 4MATIC,Rs. 90 Lakh,"7,554",Electric
2022 Porsche Cayenne Platinum Edition [2022-2023],Rs. 1.1 Crore,"42,939",Petrol
2022 BMW X5 xDrive30d xLine,Rs. 68 Lakh,"44,266",Diesel
2024 BMW i5 M60 xDrive,Rs. 90 Lakh,"5,322",Electric
2024 Lexus RX 350h Luxury,Rs. 92 Lakh,"11,803",Hybrid (Electric + Petrol)
2019 Audi A3 35 TFSI Premium Plus,Rs. 19 Lakh,"55,419",Petrol
2025 Mercedes-Benz GLE 450 4MATIC LWB,Rs. 95 Lakh,"6,423",Mild Hybrid(Electric + Petrol)
2020 Kia Carnival Limousine Plus 7 STR,Rs. 24 Lakh,"70,000",Diesel
2024 Mercedes-Benz GLC 300 4MATIC,Rs. 70 Lakh,"6,652",Petrol
2024 BMW X1 sDrive18i M Sport,Rs. 48 Lakh,"9,480",Petrol
2019 Mercedes-Benz CLA 200 Petrol Sport,Rs. 25 Lakh,"39,000",Petrol
2023 MG Hector Savvy Pro 1.5 Turbo Petrol CVT [2023],Rs. 18.75 Lakh,"10,000",Petrol
2020 Volvo S90 D4 Inscription,Rs. 35 Lakh,"35,000",Diesel
2023 Mini Cooper SE Charged Edition,Rs. 32 Lakh,"16,000",Electric
2023 Mini Cooper SE Charged Edition,Rs. 29.99 Lakh,"17,400",Electric
2021 BMW 5-Series 530i M Sport [2021-2023],Rs. 34.5 Lakh,"65,000",Petrol
2015 Mercedes-Benz C-Class C 220d,Rs. 13.95 Lakh,"95,000",Diesel
2017 Ford Endeavour Titanium 2.2 4x2 AT [2016-2018],Rs. 14.95 Lakh,"59,000",Diesel
2024 Volvo XC90 B6 Ultimate,Rs. 63 Lakh,"62,000",Petrol
2023 Land Rover Discovery Sport SE R-Dynamic Petrol [2023-2024],Rs. 52 Lakh,"31,039",Mild Hybrid(Electric + Petrol)
2024 Land Rover Range Rover Evoque SE R-Dynamic Petrol,Rs. 62 Lakh,"9,704",Petrol
2020 Volvo XC60 Inscription [2017-2020],Rs. 32 Lakh,"62,000",Diesel
2018 Ford Endeavour Titanium 3.2 4x4 AT,Rs. 17.5 Lakh,"1,17,000 ",Diesel
2018 Lexus NX 300h Luxury [2017-2020],Rs. 30 Lakh,"58,398",Petrol
2022 Volvo XC60 B5 Inscription,Rs. 43 Lakh,"31,534",Hybrid (Electric + Petrol)
2017 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],Rs. 26 Lakh,"39,000",Diesel
2023 Audi Q3 40 TFSI Premium Plus,Rs. 34 Lakh,"32,882",Petrol
2021 Honda City VX,Rs. 9.31 Lakh,"85,000",Petrol
2024 BMW i7 eDrive50 M Sport,Rs. 1.5 Crore,"4,006",Electric
2015 Land Rover Discovery SE,Rs. 16.75 Lakh,"60,000",Diesel
2020 Mahindra Scorpio S11 2WD 7 STR,Rs. 13.1 Lakh,"46,000",Diesel
2024 BMW 3 Series Gran Limousine 330Li M Sport,Rs. 53 Lakh,"15,743",Petrol
2023 BMW 5-Series 530i M Sport,Rs. 52 Lakh,"29,278",Petrol
2023 BMW 3 Series Gran Limousine 330Li M Sport [2023],Rs. 52 Lakh,"13,039",Petrol
2024 Mercedes-Benz EQA 250 Plus,Rs. 49 Lakh,"7,317",Electric
2024 Volvo XC60 B5 Ultimate,Rs. 53 Lakh,"29,000",Petrol
2024 Land Rover Range Rover Velar HSE Dynamic 2.0 Petrol,Rs. 82 Lakh,"13,633",Petrol
2024 Mercedes-Benz EQA 250 Plus,Rs. 49 Lakh,"7,441",Electric
2022 Mercedes-Benz A-Class Limousine 200,Rs. 32.5 Lakh,"23,321",Petrol
2021 Volvo XC40 T4 R-Design,Rs. 28 Lakh,"29,596",Petrol
2024 BMW X1 sDrive18i M Sport,Rs. 48 Lakh,"9,480",Petrol
2024 Mercedes-Benz EQA 250 Plus,Rs. 49 Lakh,"7,317",Electric
2024 Volvo XC60 B5 Ultimate,Rs. 53 Lakh,"29,000",Petrol
2024 Land Rover Range Rover Velar HSE Dynamic 2.0 Petrol,Rs. 82 Lakh,"13,633",Petrol
2024 Mercedes-Benz EQA 250 Plus,Rs. 49 Lakh,"7,441",Electric
2022 Mercedes-Benz A-Class Limousine 200,Rs. 32.5 Lakh,"23,321",Petrol
2024 BMW 3 Series Gran Limousine 330Li M Sport,Rs. 53 Lakh,"15,743",Petrol
2019 Mercedes-Benz CLA 200 Petrol Sport,Rs. 25 Lakh,"39,000",Petrol
2023 MG Hector Savvy Pro 1.5 Turbo Petrol CVT [2023],Rs. 18.75 Lakh,"10,000",Petrol
2020 Volvo S90 D4 Inscription,Rs. 35 Lakh,"35,000",Diesel
2023 Mini Cooper SE Charged Edition,Rs. 32 Lakh,"16,000",Electric
2023 Mini Cooper SE Charged Edition,Rs. 29.99 Lakh,"17,400",Electric
2021 BMW 5-Series 530i M Sport [2021-2023],Rs. 34.5 Lakh,"65,000",Petrol
2015 Mercedes-Benz C-Class C 220d,Rs. 13.95 Lakh,"95,000",Diesel
2017 Ford Endeavour Titanium 2.2 4x2 AT [2016-2018],Rs. 14.95 Lakh,"59,000",Diesel
2024 Volvo XC90 B6 Ultimate,Rs. 63 Lakh,"62,000",Petrol
2023 Land Rover Discovery Sport SE R-Dynamic Petrol [2023-2024],Rs. 52 Lakh,"31,039",Mild Hybrid(Electric + Petrol)
2024 Land Rover Range Rover Evoque SE R-Dynamic Petrol,Rs. 62 Lakh,"9,704",Petrol
2020 Volvo XC60 Inscription [2017-2020],Rs. 32 Lakh,"62,000",Diesel
2018 Ford Endeavour Titanium 3.2 4x4 AT,Rs. 17.5 Lakh,"1,17,000 ",Diesel
2018 Lexus NX 300h Luxury [2017-2020],Rs. 30 Lakh,"58,398",Petrol
2020 Volvo XC60 Inscription [2017-2020],Rs. 32.5 Lakh,"62,000",Diesel
2023 Volvo XC90 B6 Ultimate [2022-2023],Rs. 63.5 Lakh,"62,000",Petrol
2024 BMW X7 xDrive40i M Sport,Rs. 1.12 Crore,"26,296",Mild Hybrid(Electric + Petrol)
2023 BMW 3-Series xDrive [2023-2024],Rs. 60 Lakh,"9,500",Petrol
2024 Mercedes-Benz GLS 450 4MATIC,Rs. 1.22 Crore,"12,500",Petrol
2022 Volvo XC40 Ultimate AWD,Rs. 29.5 Lakh,"48,500",Electric
2018 Mercedes-Benz E-Class E 220 d Avantgarde,Rs. 24.5 Lakh,"78,000",Diesel
2015 BMW 5-Series 530d M Sport [2013-2017],Rs. 16.5 Lakh,"52,000",Diesel
2018 Mahindra XUV500 W9 [2018-2020],Rs. 7.5 Lakh,"99,500",Diesel
2015 Mercedes-Benz S-Class S 350 CDI,Rs. 26 Lakh,"78,000",Diesel
2024 Mercedes-Benz E-Class 450 4MATIC [2024-2025],Rs. 80 Lakh,"4,500",Petrol
2022 Mahindra XUV700 AX 5 Petrol MT 7 STR [2021],Rs. 13.95 Lakh,"14,500",Petrol
2012 Audi A4 2.0 TDI Sline,Rs. 7.5 Lakh,"72,000",Diesel
2015 Mercedes-Benz C-Class C 220 CDI Style,Rs. 15.95 Lakh,"90,000",Diesel
2021 Mahindra Thar LX Hard Top Petrol AT,Rs. 12 Lakh,"30,000",Petrol
2024 Nissan X-Trail Mild Hybrid CVT,Rs. 29.5 Lakh,1,Petrol
2020 Ford Endeavour Titanium Plus 2.0 4x2 AT,Rs. 24.95 Lakh,"95,000",Diesel
2022 Mahindra Thar LX Convertible Top Diesel AT 4WD,Rs. 14.75 Lakh,"29,000",Diesel
2021 Hyundai Alcazar Signature (O) 7 Seater 1.5 Diesel AT,Rs. 13.5 Lakh,"1,00,000 ",Diesel
2023 Mercedes-Benz E-Class E 220 d Avantgarde,Rs. 53 Lakh,"22,100",Diesel
2016 Renault Duster 85 PS RXS 4X2 MT Diesel,Rs. 4.25 Lakh,"95,000",Diesel
2020 Volvo XC60 Inscription [2017-2020],Rs. 28.5 Lakh,"80,000",Diesel
2020 Mahindra Scorpio S11 2WD 7 STR,Rs. 13 Lakh,"46,000",Diesel
2019 Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],Rs. 5.95 Lakh,"55,000",Petrol
2017 Volvo XC90 T8 Excellence (4 STR),Rs. 70 Lakh,"42,000",Petrol
2018 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],Rs. 22.5 Lakh,"65,000",Diesel
2018 Skoda Octavia 1.8 TSI L&K,Rs. 12.75 Lakh,"52,000",Petrol
2022 Mahindra XUV300 W6 1.2 Petrol AMT [2021],Rs. 9 Lakh,"40,000",Petrol
2018 Mercedes-Benz SLC 43 AMG,Rs. 57 Lakh,"8,900",Petrol
2016 Toyota Fortuner 2.8 4x4 AT [2016-2020],Rs. 25.75 Lakh,"94,000",Diesel
2019 Hyundai Venue SX (O) 1.0 Turbo,Rs. 7.45 Lakh,"90,000",Petrol
2020 Audi Q8 55 TFSI quattro,Rs. 76 Lakh,"44,800",Petrol
2018 Renault Kwid 1.0 RXT AMT Opt [2016-2019],Rs. 3.9 Lakh,"30,476",Petrol
2014 Maruti Suzuki Ertiga Vxi,Rs. 6.25 Lakh,"15,000",Petrol
2024 Renault Triber RXZ Dual Tone [2024-2025],Rs. 8 Lakh,"15,567",Petrol
2024 Tata Nexon Creative 1.2 Petrol 6MT Dark Edition [2023-2025],Rs. 10.2 Lakh,"6,000",Petrol
2019 Volkswagen Polo Trendline 1.0L (P),Rs. 6.25 Lakh,"35,000",Petrol
2021 Maruti Suzuki Vitara Brezza VXi AT SHVS,Rs. 9.1 Lakh,"12,000",Petrol
2019 Tata Nexon XZA Plus Diesel,Rs. 8.25 Lakh,"40,000",Diesel
2023 Hyundai Verna SX 1.5 Petrol MT,Rs. 13.25 Lakh,"12,500",Petrol
2023 Honda City Hybrid eHEV ZX eHEV,Rs. 17 Lakh,"46,034",Hybrid (Electric + Petrol)
2021 Volkswagen T-Roc 1.5 TSI,Rs. 19.75 Lakh,"25,230",Petrol
2023 Mercedes-Benz C-Class C 300d [2022-2023],Rs. 58 Lakh,"12,913",Diesel
2018 Hyundai Elite i20 Magna Executive 1.2,Rs. 5.5 Lakh,"57,091",Petrol
2018 Volkswagen Vento Highline Diesel AT [2015-2016],Rs. 8.5 Lakh,"86,838",Diesel
2022 Maruti Suzuki Ciaz Sigma Hybrid 1.5 [2018-2020],Rs. 7 Lakh,"88,545",Petrol
2017 BMW 7-Series 730d Sedan,Rs. 52 Lakh,"36,000",Diesel
2018 Mercedes-Benz C-Class C 220d,Rs. 34 Lakh,"22,300",Diesel
2015 Mercedes-Benz C-Class C 220d,Rs. 22 Lakh,"82,000",Diesel
2023 BMW i7 xDrive60,Rs. 1.75 Crore,"9,500",Electric
2023 Hyundai Alcazar Platinum 7 STR 1.5 Diesel,Rs. 17.5 Lakh,"65,000",Diesel
2018 Mercedes-Benz GLS 350 d,Rs. 57 Lakh,"48,700",Diesel
2016 BMW 7-Series 730Ld,Rs. 35 Lakh,"89,000",Diesel
2013 BMW 6-Series 640d Coupe,Rs. 27.5 Lakh,"63,000",Diesel
2019 Mercedes-Benz CLA 200 D Urban Sport,Rs. 27.5 Lakh,"44,900",Diesel
2017 Audi A6 35 TDI Matrix,Rs. 28 Lakh,"43,000",Diesel
2018 Mercedes-Benz SLC 43 AMG,Rs. 57 Lakh,"8,900",Petrol
2016 Toyota Fortuner 2.8 4x4 AT [2016-2020],Rs. 25.75 Lakh,"94,000",Diesel
2019 Hyundai Venue SX (O) 1.0 Turbo,Rs. 7.45 Lakh,"90,000",Petrol
2020 Audi Q8 55 TFSI quattro,Rs. 76 Lakh,"44,800",Petrol
2018 Renault Kwid 1.0 RXT AMT Opt [2016-2019],Rs. 3.9 Lakh,"30,476",Petrol
2014 Maruti Suzuki Ertiga Vxi,Rs. 6.25 Lakh,"15,000",Petrol
2024 Renault Triber RXZ Dual Tone [2024-2025],Rs. 8 Lakh,"15,567",Petrol
2024 Tata Nexon Creative 1.2 Petrol 6MT Dark Edition [2023-2025],Rs. 10.2 Lakh,"6,000",Petrol
2019 Volkswagen Polo Trendline 1.0L (P),Rs. 6.25 Lakh,"35,000",Petrol
2021 Maruti Suzuki Vitara Brezza VXi AT SHVS,Rs. 9.1 Lakh,"12,000",Petrol
2019 Tata Nexon XZA Plus Diesel,Rs. 8.25 Lakh,"40,000",Diesel
2023 Hyundai Verna SX 1.5 Petrol MT,Rs. 13.25 Lakh,"12,500",Petrol
2023 Honda City Hybrid eHEV ZX eHEV,Rs. 17 Lakh,"46,034",Hybrid (Electric + Petrol)
2021 Volkswagen T-Roc 1.5 TSI,Rs. 19.75 Lakh,"25,230",Petrol
2023 Mercedes-Benz C-Class C 300d [2022-2023],Rs. 58 Lakh,"12,913",Diesel
2018 Hyundai Elite i20 Magna Executive 1.2,Rs. 5.5 Lakh,"57,091",Petrol
2018 Volkswagen Vento Highline Diesel AT [2015-2016],Rs. 8.5 Lakh,"86,838",Diesel
2022 Maruti Suzuki Ciaz Sigma Hybrid 1.5 [2018-2020],Rs. 7 Lakh,"88,545",Petrol
2017 BMW 7-Series 730d Sedan,Rs. 52 Lakh,"36,000",Diesel
2018 Mercedes-Benz C-Class C 220d,Rs. 34 Lakh,"22,300",Diesel
2017 Audi A6 35 TDI Matrix,Rs. 28 Lakh,"43,000",Diesel
2012 Audi Q5 2.0 TDI quattro,Rs. 17 Lakh,"77,000",Diesel
2024 MG Hector Plus Blackstorm 2.0 Turbo Diesel 7 STR,Rs. 22.5 Lakh,"12,200",Diesel
2014 BMW 3-Series 320d Prestige,Rs. 19 Lakh,"27,000",Diesel
2017 Mercedes-Benz GLE 250 d,Rs. 30 Lakh,"98,000",Diesel
2019 Audi A3 35 TDI Premium + Sunroof,Rs. 25 Lakh,"12,000",Diesel
2014 Maserati Quattroporte Diesel,Rs. 35 Lakh,"44,000",Diesel
2013 Toyota Prado VX L,Rs. 42 Lakh,"1,51,000 ",Diesel
2018 BMW 3 Series GT 320d Sport Line [2014-2016],Rs. 26 Lakh,"65,800",Diesel
2024 Mercedes-Benz GLS 450d 4MATIC,Rs. 1.2 Crore,"10,000",Diesel
2022 Mercedes-Benz S-Class S 350d,Rs. 1.25 Crore,"32,200",Diesel
2020 BMW X7 xDrive30d DPE Signature [2019-2020],Rs. 72 Lakh,"1,17,000 ",Diesel
2019 Mercedes-Benz E-Class E 220 d Avantgarde,Rs. 36.5 Lakh,"1,00,000 ",Diesel
2020 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],Rs. 53 Lakh,"61,000",Diesel
2021 Hyundai Elite i20 Sportz 1.2 IVT [2020-2023],Rs. 6.9 Lakh,"30,578",Petrol
2024 BMW X5 xDrive30d M Sport,Rs. 1.05 Crore,"15,000",Diesel
2015 Mercedes-Benz S-Class S 350D [2018-2020],Rs. 40 Lakh,"68,000",Diesel
2017 Volvo S90 D4 Inscription,Rs. 30 Lakh,"39,000",Diesel
2022 Jaguar F-type Coupe R-Dynamic 2.0 [2020-2023],Rs. 1.2 Crore,"5,000",Petrol
2023 Mahindra Thar LX Hard Top Petrol AT RWD [2023],Rs. 13.5 Lakh,"20,208",Petrol
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,Rs. 12.5 Lakh,"15,000",Petrol
2019 Tata Tiago Revotron XZ,Rs. 4.46 Lakh,"9,950",Petrol
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,Rs. 6.75 Lakh,"15,000",Petrol
2016 Renault Kwid 1.0 RXT AMT Opt [2016-2019],Rs. 3.27 Lakh,"61,176",Petrol
2014 Maruti Suzuki Wagon R VXi,Rs. 4.1 Lakh,"12,000",Petrol
2013 Mercedes-Benz B-class B180,Rs. 12.5 Lakh,"39,000",Petrol
2019 Mercedes-Benz GLC 220d 4MATIC Progressive [2019-2021],Rs. 42 Lakh,"51,000",Diesel
2018 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],Rs. 37.5 Lakh,"69,000",Diesel
2019 Volkswagen Tiguan AllSpace 2.0 TSI,Rs. 19.5 Lakh,"77,000",Petrol
2023 Honda City Hybrid eHEV ZX eHEV,Rs. 18 Lakh,"25,000",Hybrid (Electric + Petrol)
2021 Mercedes-Benz C-Coupe 43 AMG 4MATIC,Rs. 75 Lakh,"17,000",Petrol
2014 Audi Q3 2.0 TDI Base Grade,Rs. 14 Lakh,"76,000",Diesel
2015 Mercedes-Benz C-Class C 220d,Rs. 22 Lakh,"82,000",Diesel
2023 BMW i7 xDrive60,Rs. 1.75 Crore,"9,500",Electric
2023 Hyundai Alcazar Platinum 7 STR 1.5 Diesel,Rs. 17.5 Lakh,"65,000",Diesel
2018 Mercedes-Benz GLS 350 d,Rs. 57 Lakh,"48,700",Diesel
2016 BMW 7-Series 730Ld,Rs. 35 Lakh,"89,000",Diesel
2013 BMW 6-Series 640d Coupe,Rs. 27.5 Lakh,"63,000",Diesel
2019 Mercedes-Benz CLA 200 D Urban Sport,Rs. 27.5 Lakh,"44,900",Diesel
2017 Audi A6 35 TDI Matrix,Rs. 28 Lakh,"43,000",Diesel
2012 Audi Q5 2.0 TDI quattro,Rs. 17 Lakh,"77,000",Diesel
2024 MG Hector Plus Blackstorm 2.0 Turbo Diesel 7 STR,Rs. 22.5 Lakh,"12,200",Diesel
2016 BMW 7-Series 730Ld,Rs. 35 Lakh,"89,000",Diesel
2014 BMW 3-Series 320d Prestige,Rs. 19 Lakh,"27,000",Diesel
2017 Mercedes-Benz GLE 250 d,Rs. 30 Lakh,"98,000",Diesel
2019 Audi A3 35 TDI Premium + Sunroof,Rs. 25 Lakh,"12,000",Diesel
2014 Maserati Quattroporte Diesel,Rs. 35 Lakh,"44,000",Diesel
2013 Toyota Prado VX L,Rs. 42 Lakh,"1,51,000 ",Diesel
2018 BMW 3 Series GT 320d Sport Line [2014-2016],Rs. 26 Lakh,"65,800",Diesel
2024 Mercedes-Benz GLS 450d 4MATIC,Rs. 1.2 Crore,"10,000",Diesel
2022 Mercedes-Benz S-Class S 350d,Rs. 1.25 Crore,"32,200",Diesel
2020 BMW X7 xDrive30d DPE Signature [2019-2020],Rs. 72 Lakh,"1,17,000 ",Diesel
2019 Mercedes-Benz E-Class E 220 d Avantgarde,Rs. 36.5 Lakh,"1,00,000 ",Diesel
2020 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],Rs. 53 Lakh,"61,000",Diesel
2021 Hyundai Elite i20 Sportz 1.2 IVT [2020-2023],Rs. 6.9 Lakh,"30,578",Petrol
2024 BMW X5 xDrive30d M Sport,Rs. 1.05 Crore,"15,000",Diesel
2015 Mercedes-Benz S-Class S 350D [2018-2020],Rs. 40 Lakh,"68,000",Diesel
2017 Volvo S90 D4 Inscription,Rs. 30 Lakh,"39,000",Diesel
2022 Jaguar F-type Coupe R-Dynamic 2.0 [2020-2023],Rs. 1.2 Crore,"5,000",Petrol
2023 Mahindra Thar LX Hard Top Petrol AT RWD [2023],Rs. 13.5 Lakh,"20,208",Petrol
2023 Hyundai Venue SX (O) 1.0 Turbo DCT,Rs. 12.5 Lakh,"15,000",Petrol
2019 Tata Tiago Revotron XZ,Rs. 4.46 Lakh,"9,950",Petrol
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,Rs. 6.75 Lakh,"15,000",Petrol
2016 Renault Kwid 1.0 RXT AMT Opt [2016-2019],Rs. 3.27 Lakh,"61,176",Petrol
2014 Maruti Suzuki Wagon R VXi,Rs. 4.1 Lakh,"12,000",Petrol
2016 Renault Kwid 1.0 RXT AMT Opt,Rs. 3.26 Lakh,"49,305",Petrol
2017 Renault Kwid 1.0 RXT AMT Opt [2016-2019],Rs. 3.31 Lakh,"43,707",Petrol
2019 Ford Ecosport Titanium 1.5L TDCi [2019-2020],Rs. 7.31 Lakh,"40,435",Diesel
2018 Skoda Octavia RS,Rs. 28.5 Lakh,"55,000",Petrol
2016 Mercedes-Benz GLE Coupe 43 AMG 4Matic 2016,Rs. 57 Lakh,"45,000",Petrol
2019 Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],Rs. 38 Lakh,"70,000",Diesel
2022 Porsche Macan Base,Rs. 70 Lakh,"25,147",Petrol
