o-o,o-j1,o-j5
2023 Hyundai Creta SX 1.5 Petrol CVT,"48,242 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 13.5 Lakh
2018 Maruti Suzuki Swift ZXi AMT [2018-2019],"60,203 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 5.2 Lakh
2021 Hyundai Creta E 1.5 Diesel [2020-2022],"61,870 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 10.9 Lakh
2019 Maruti Suzuki Alto VXI,"54,647 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 3.25 Lakh
2021 Toyota Fortuner 4X2 2WD Diesel Turbo Automatic Dual Tone,"88,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 32.5 Lakh
2018 Ford Endeavour Titanium 3.2 4x4 AT,"1,16,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 21.75 Lakh
2017 Audi Q3 30 TDI Premium FWD,"68,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 18.9 Lakh
2020 BMW X4 xDrive30i M Sport X,"67,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 39.9 Lakh
2016 Hyundai Grand i10 Sportz (O) U2 1.2 CRDi [2017-2018],"60,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 3.8 Lakh
2013 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"90,221 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 3.25 Lakh
2023 MG Hector Plus Sharp Pro 2.0 Turbo Diesel 7 STR [2023],"11,300 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 17.9 Lakh
2021 Hyundai Alcazar Prestige 7 STR 2.0 Petrol,"16,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],"93,970 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 6.9 Lakh
2015 Mercedes-Benz E-Class E 220 D,"1,46,618 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 15 Lakh
2014 Mercedes-Benz GLA 200 CDI Sport,"74,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.5 Lakh
2018 Tata Tiago Revotron XZA,"26,541 km  |  Petrol  |  Kotarpur, Ahmedabad",Rs. 4.02 Lakh
2014 Maruti Suzuki Swift VXi,"73,370 km  |  Petrol  |  Kotarpur, Ahmedabad",Rs. 3.45 Lakh
2019 Volvo XC90 D5 Inscription,"68,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 42.5 Lakh
2018 Jaguar F-Pace Prestige Petrol,"26,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 32.5 Lakh
2023 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"50,000 km  |  Diesel  |  Bodakdev, Ahmedabad",Rs. 100 Lakh
2021 Volvo XC40 T4 R-Design,"34,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 29.5 Lakh
2015 Hyundai i10 1.2 L Kappa Magna Special Edition,"44,023 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 3.25 Lakh
2019 Land Rover Range Rover Sport HSE 2.0 Petrol,"85,012 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 58 Lakh
2023 BMW 6-Series GT 630i M Sport [2021-2023],"18,300 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 59.5 Lakh
2017 Renault Kwid 1.0 RXT [2016-2019],"22,158 km  |  Petrol  |  Gota, Ahmedabad",Rs. 2.74 Lakh
2018 BMW 3-Series 320d Sport Shadow Edition,"76,246 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 19.9 Lakh
2021 Tata Tiago XZ Plus [2020-2023],"42,923 km  |  Petrol  |  Gota, Ahmedabad",Rs. 5.12 Lakh
2018 Jeep Compass Limited (O) 2.0 Diesel [2017-2020],"81,280 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 7.5 Lakh
2018 Maruti Suzuki Ciaz Delta 1.4 MT,"76,178 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 6 Lakh
2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"74,778 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 4 Lakh
2017 Hyundai Creta SX Plus 1.6  Petrol,"82,596 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 7 Lakh
2017 Honda City ZX CVT Petrol [2017-2019],"71,132 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 6.1 Lakh
2017 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],"1,01,500 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 17 Lakh
2021 BMW X3 xDrive 30i Luxury Line [2018-2019],"55,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 38.9 Lakh
2008 Hummer H2 SUV,"35,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 98 Lakh
2023 Hyundai Creta SX 1.5 Petrol CVT,"48,100 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2015 Honda City SV CVT,"60,804 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 5.11 Lakh
2022 Hyundai Creta S Plus 1.5 Petrol Knight Dual Tone,"27,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 11.9 Lakh
2021 Tata Harrier XZA Plus,"90,687 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 14 Lakh
2015 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2016-2017],"53,263 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 4.25 Lakh
2023 Jeep Meridian Limited (O) 4X4 AT [2022],"40,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 25.9 Lakh
2008 Hummer H2 SUV,"35,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 98 Lakh
2023 Hyundai Creta SX 1.5 Petrol CVT,"48,100 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2018 Ford Endeavour Titanium 3.2 4x4 AT,"1,16,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 21.75 Lakh
2017 Audi Q3 30 TDI Premium FWD,"68,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 18.9 Lakh
2020 BMW X4 xDrive30i M Sport X,"67,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 39.9 Lakh
2016 Hyundai Grand i10 Sportz (O) U2 1.2 CRDi [2017-2018],"60,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 3.8 Lakh
2013 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"90,221 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 3.25 Lakh
2023 MG Hector Plus Sharp Pro 2.0 Turbo Diesel 7 STR [2023],"11,300 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 17.9 Lakh
2021 Hyundai Alcazar Prestige 7 STR 2.0 Petrol,"16,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2018 Jeep Compass Limited 1.4 Petrol AT [2017-2020],"93,970 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 6.9 Lakh
2015 Mercedes-Benz E-Class E 220 D,"1,46,618 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 15 Lakh
2014 Mercedes-Benz GLA 200 CDI Sport,"74,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.5 Lakh
2018 Tata Tiago Revotron XZA,"26,541 km  |  Petrol  |  Kotarpur, Ahmedabad",Rs. 4.02 Lakh
2014 Maruti Suzuki Swift VXi,"73,370 km  |  Petrol  |  Kotarpur, Ahmedabad",Rs. 3.45 Lakh
2019 Volvo XC90 D5 Inscription,"68,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 42.5 Lakh
2018 Jaguar F-Pace Prestige Petrol,"26,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 32.5 Lakh
2012 Maruti Suzuki Swift VXi,"66,677 km  |  Petrol  |  Gota, Ahmedabad",Rs. 3.22 Lakh
2022 Maruti Suzuki Vitara Brezza ZXi,"25,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 9.11 Lakh
2019 Tata Harrier XZ [2019-2020],"63,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 10.25 Lakh
2017 Maruti Suzuki DZire VDi AMT,"77,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 5.35 Lakh
2018 Hyundai Verna SX (O) 1.6 CRDi,"79,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 7.35 Lakh
2021 BMW 2 Series Gran Coupe 220d Sportline,"20,500 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 29.9 Lakh
2021 Mahindra Thar LX Hard Top Petrol AT 4WD,"30,439 km  |  Petrol  |  Gota, Ahmedabad",Rs. 11.35 Lakh
2016 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],"64,180 km  |  CNG  |  Gota, Ahmedabad",Rs. 3.61 Lakh
2022 Volkswagen Virtus Highline 1.0 TSI AT,"39,400 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 12.9 Lakh
2017 Volvo XC90 D5 Inscription,"86,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 32.5 Lakh
2022 Land Rover Discovery Sport SE R-Dynamic [2023-2024],"23,800 km  |  Mild Hybrid (Electric + Diesel)  |  Makarba, Ahmedabad",Rs. 43.5 Lakh
2017 BMW X1 sDrive20d xLine,"58,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 19.9 Lakh
2008 BMW 7-Series 730Ld Sedan,"35,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 9.9 Lakh
2022 Mercedes-Benz AMG GLC 43 Coupe 4MATIC [2020-2023],"16,900 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 69 Lakh
2017 BMW X1 sDrive20d Expedition,"1,33,845 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 11 Lakh
2013 Jaguar XF 2.2 Diesel,"44,381 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 11 Lakh
2025 Mercedes-Benz E-Class 450 4MATIC [2024-2025],"11,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 83 Lakh
2010 BMW 3-Series 325i,"54,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 6.5 Lakh
2020 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"23,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 74.5 Lakh
2022 Skoda Kushaq Style 1.0L TSI AT,"29,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 12.9 Lakh
2021 Kia Sonet GTX Plus 1.0 iMT [2020-2021],"68,591 km  |  Petrol  |  Gota, Ahmedabad",Rs. 8.06 Lakh
2015 BMW 3 Series GT 320d Luxury Line [2014-2016],"51,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 19.5 Lakh
2023 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"86,000 km  |  Diesel  |  Bodakdev, Ahmedabad",Rs. 88.5 Lakh
2016 Toyota Fortuner 3.0 4x4 MT,"95,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2023 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"50,000 km  |  Diesel  |  Bodakdev, Ahmedabad",Rs. 100 Lakh
2021 Volvo XC40 T4 R-Design,"34,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 29.5 Lakh
2015 Hyundai i10 1.2 L Kappa Magna Special Edition,"44,023 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 3.25 Lakh
2019 Land Rover Range Rover Sport HSE 2.0 Petrol,"85,012 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 58 Lakh
2023 BMW 6-Series GT 630i M Sport [2021-2023],"18,300 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 59.5 Lakh
2017 Renault Kwid 1.0 RXT [2016-2019],"22,158 km  |  Petrol  |  Gota, Ahmedabad",Rs. 2.74 Lakh
2018 BMW 3-Series 320d Sport Shadow Edition,"76,246 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 19.9 Lakh
2021 Tata Tiago XZ Plus [2020-2023],"42,923 km  |  Petrol  |  Gota, Ahmedabad",Rs. 5.12 Lakh
2018 Jeep Compass Limited (O) 2.0 Diesel [2017-2020],"81,280 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 7.5 Lakh
2018 Maruti Suzuki Ciaz Delta 1.4 MT,"76,178 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 6 Lakh
2012 Maruti Suzuki Swift VXi,"66,677 km  |  Petrol  |  Gota, Ahmedabad",Rs. 3.22 Lakh
2022 Maruti Suzuki Vitara Brezza ZXi,"25,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 9.11 Lakh
2019 Tata Harrier XZ [2019-2020],"63,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 10.25 Lakh
2017 Maruti Suzuki DZire VDi AMT,"77,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 5.35 Lakh
2018 Hyundai Verna SX (O) 1.6 CRDi,"79,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 7.35 Lakh
2021 BMW 2 Series Gran Coupe 220d Sportline,"20,500 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 29.9 Lakh
2021 Mahindra Thar LX Hard Top Petrol AT 4WD,"30,439 km  |  Petrol  |  Gota, Ahmedabad",Rs. 11.35 Lakh
2016 Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],"64,180 km  |  CNG  |  Gota, Ahmedabad",Rs. 3.61 Lakh
2022 Volkswagen Virtus Highline 1.0 TSI AT,"39,400 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 12.9 Lakh
2017 Volvo XC90 D5 Inscription,"86,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 32.5 Lakh
2022 Land Rover Discovery Sport SE R-Dynamic [2023-2024],"23,800 km  |  Mild Hybrid (Electric + Diesel)  |  Makarba, Ahmedabad",Rs. 43.5 Lakh
2017 BMW X1 sDrive20d xLine,"58,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 19.9 Lakh
2017 Ford Endeavour Titanium 3.2 4x4 AT,"94,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 21.75 Lakh
2023 Kia Sonet HTK Plus 1.0 iMT [2020-2021],"12,765 km  |  Petrol  |  Memnagar, Ahmedabad",Rs. 9.5 Lakh
2021 Tata Harrier XZA,"80,288 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 11.5 Lakh
2022 Toyota Fortuner 4x2 2WD Diesel 2.8L Turbo 6 Speed Manual,"54,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 29.35 Lakh
2021 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"85,000 km  |  Diesel  |  Bodakdev, Ahmedabad",Rs. 70.5 Lakh
2016 BMW X5 xDrive30d Pure Experience (5 Seater),"55,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 29.9 Lakh
2018 Audi A6 35 TFSI,"45,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 21.5 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi,"66,710 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 7.75 Lakh
2014 Hyundai i10 1.1L iRDE Magna Special Edition,"1,13,100 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 2.8 Lakh
2019 Hyundai Santro Magna AMT [2018-2020],"28,863 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 4 Lakh
2020 Jeep Compass Limited (O) 2.0 Diesel 4x4 [2017-2020],"85,176 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 13 Lakh
2016 Audi Q3 30 TDI Premium FWD,"79,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 13.85 Lakh
2017 Honda CR-V 2.0L 2WD AT,"80,000 km  |  Petrol  |  Bodakdev, Ahmedabad",Rs. 8.75 Lakh
2015 Lamborghini Huracan LP 610-4,"37,000 km  |  Petrol  |  Bodakdev, Ahmedabad",Rs. 2.51 Crore
2021 Kia Sonet HTX Plus 1.0 iMT [2020-2021],"67,490 km  |  Petrol  |  Gota, Ahmedabad",Rs. 7.72 Lakh
2022 Skoda Kushaq Style 1.5L TSI DSG,"27,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2017 Ford Endeavour Trend 3.2 4x4 AT,"1,70,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 18.35 Lakh
2023 Kia Seltos GTX Plus 1.5 Diesel AT,"55,698 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 17.25 Lakh
2020 Hyundai Creta SX (O) 1.5 Diesel [2020-2022],"80,674 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 12.51 Lakh
2015 Toyota Fortuner 3.0 4x2 MT,"2,70,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.5 Lakh
2012 Mercedes-Benz C-Class 220 BlueEfficiency,"61,371 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 7 Lakh
2021 Tata Harrier XZA,"71,232 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 14 Lakh
2018 BMW 7-Series 730Ld,"45,139 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 42.51 Lakh
2019 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],"99,696 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 17 Lakh
2008 BMW 7-Series 730Ld Sedan,"35,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 9.9 Lakh
2022 Mercedes-Benz AMG GLC 43 Coupe 4MATIC [2020-2023],"16,900 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 69 Lakh
2017 BMW X1 sDrive20d Expedition,"1,33,845 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 11 Lakh
2013 Jaguar XF 2.2 Diesel,"44,381 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 11 Lakh
2025 Mercedes-Benz E-Class 450 4MATIC [2024-2025],"11,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 83 Lakh
2010 BMW 3-Series 325i,"54,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 6.5 Lakh
2020 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"23,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 74.5 Lakh
2022 Skoda Kushaq Style 1.0L TSI AT,"29,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 12.9 Lakh
2021 Kia Sonet GTX Plus 1.0 iMT [2020-2021],"68,591 km  |  Petrol  |  Gota, Ahmedabad",Rs. 8.06 Lakh
2015 BMW 3 Series GT 320d Luxury Line [2014-2016],"51,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 19.5 Lakh
2023 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"86,000 km  |  Diesel  |  Bodakdev, Ahmedabad",Rs. 88.5 Lakh
2016 Toyota Fortuner 3.0 4x4 MT,"95,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2017 Ford Endeavour Titanium 3.2 4x4 AT,"94,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 21.75 Lakh
2023 Kia Sonet HTK Plus 1.0 iMT [2020-2021],"12,765 km  |  Petrol  |  Memnagar, Ahmedabad",Rs. 9.5 Lakh
2021 Tata Harrier XZA,"80,288 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 11.5 Lakh
2022 Toyota Fortuner 4x2 2WD Diesel 2.8L Turbo 6 Speed Manual,"54,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 29.35 Lakh
2021 Mercedes-Benz GLS 400d 4MATIC [2020-2023],"85,000 km  |  Diesel  |  Bodakdev, Ahmedabad",Rs. 70.5 Lakh
2016 BMW X5 xDrive30d Pure Experience (5 Seater),"55,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 29.9 Lakh
2018 Audi A6 35 TFSI,"45,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 21.5 Lakh
2019 Maruti Suzuki Vitara Brezza ZDi,"66,710 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 7.75 Lakh
2014 Hyundai i10 1.1L iRDE Magna Special Edition,"1,13,100 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 2.8 Lakh
2019 Hyundai Santro Magna AMT [2018-2020],"28,863 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 4 Lakh
2020 Jeep Compass Limited (O) 2.0 Diesel 4x4 [2017-2020],"85,176 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 13 Lakh
2016 Audi Q3 30 TDI Premium FWD,"79,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 13.85 Lakh
2017 Honda CR-V 2.0L 2WD AT,"80,000 km  |  Petrol  |  Bodakdev, Ahmedabad",Rs. 8.75 Lakh
2015 Lamborghini Huracan LP 610-4,"37,000 km  |  Petrol  |  Bodakdev, Ahmedabad",Rs. 2.51 Crore
2021 Kia Sonet HTX Plus 1.0 iMT [2020-2021],"67,490 km  |  Petrol  |  Gota, Ahmedabad",Rs. 7.72 Lakh
2022 Skoda Kushaq Style 1.5L TSI DSG,"27,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2022 Renault Kiger RXT (O) MT,"73,589 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 5.9 Lakh
2017 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],"37,880 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 4.77 Lakh
2020 Kia Sonet GTX Plus 1.0 iMT [2020-2021],"42,500 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 10 Lakh
2016 Hyundai i10 1.2 L Kappa Magna Special Edition,"67,462 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 3.4 Lakh
2019 Kia Seltos GTX Plus 1.4 DCT,"69,000 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 9.9 Lakh
2024 Hyundai Exter SX 1.2 CNG MT,"55,000 km  |  CNG  |  Makarba, Ahmedabad",Rs. 7.65 Lakh
2022 Mercedes-Benz AMG GLC 43 Coupe 4MATIC [2020-2023],"23,406 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 64 Lakh
2015 BMW 3-Series 320d,"91,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.95 Lakh
2022 Maruti Suzuki Celerio ZXi Plus [2021-2023],"9,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 5.5 Lakh
2019 Tata Nexon XM Diesel,"37,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 6.5 Lakh
2018 Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],"85,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 6.45 Lakh
2021 Kia Seltos GTX Plus AT 1.5 Diesel [2019-2020],"65,016 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 13 Lakh
2023 Maruti Suzuki Alto 800 LXi (O),"70,000 km  |  Petrol + 1  |  Makarba, Ahmedabad",Rs. 3.5 Lakh
2012 Maruti Suzuki Alto VXi,"24,825 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 1.75 Lakh
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,"70,000 km  |  CNG  |  Makarba, Ahmedabad",Rs. 6.25 Lakh
2023 Tata Nexon Fearless Plus (S) 1.2 Petrol 7DCA Dual Tone [2023-2025],"27,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 10.25 Lakh
2015 Hyundai Creta 1.6 SX Plus,"1,04,638 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 7.51 Lakh
2019 BMW X1 sDrive20d Expedition,"37,116 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 22 Lakh
2017 Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],"56,155 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2017 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],"1,41,139 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 13.51 Lakh
2022 Toyota Fortuner 4X4 AT 2.8 Diesel,"1,33,192 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 33 Lakh
2023 Mahindra XUV300 W6 1.5 Diesel,"54,599 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 8.75 Lakh
2016 BMW 5-Series 520d Sedan,"69,478 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 21 Lakh
2020 Audi A6 Technology 45 TFSI [2019-2024],"38,874 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 32 Lakh
2017 Ford Endeavour Trend 3.2 4x4 AT,"1,70,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 18.35 Lakh
2023 Kia Seltos GTX Plus 1.5 Diesel AT,"55,698 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 17.25 Lakh
2020 Hyundai Creta SX (O) 1.5 Diesel [2020-2022],"80,674 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 12.51 Lakh
2015 Toyota Fortuner 3.0 4x2 MT,"2,70,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.5 Lakh
2012 Mercedes-Benz C-Class 220 BlueEfficiency,"61,371 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 7 Lakh
2021 Tata Harrier XZA,"71,232 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 14 Lakh
2018 BMW 7-Series 730Ld,"45,139 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 42.51 Lakh
2019 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],"99,696 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 17 Lakh
2023 Kia Seltos GTX Plus 1.5 Diesel AT,"55,698 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 17.25 Lakh
2020 Hyundai Creta SX (O) 1.5 Diesel [2020-2022],"80,674 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 12.51 Lakh
2012 Mercedes-Benz C-Class 220 BlueEfficiency,"61,371 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 7 Lakh
2021 Tata Harrier XZA,"71,232 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 14 Lakh
2022 Renault Kiger RXT (O) MT,"73,589 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 5.9 Lakh
2019 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],"99,696 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 17 Lakh
2017 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],"37,880 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 4.77 Lakh
2020 Kia Sonet GTX Plus 1.0 iMT [2020-2021],"42,500 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 10 Lakh
2016 Hyundai i10 1.2 L Kappa Magna Special Edition,"67,462 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 3.4 Lakh
2019 Kia Seltos GTX Plus 1.4 DCT,"69,000 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 9.9 Lakh
2024 Hyundai Exter SX 1.2 CNG MT,"55,000 km  |  CNG  |  Makarba, Ahmedabad",Rs. 7.65 Lakh
2022 Mercedes-Benz AMG GLC 43 Coupe 4MATIC [2020-2023],"23,406 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 64 Lakh
2015 BMW 3-Series 320d,"91,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.95 Lakh
2022 Maruti Suzuki Celerio ZXi Plus [2021-2023],"9,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 5.5 Lakh
