o-o,o-j1,o-j5
2020 Hyundai Grand i10 NIOS Asta AMT 1.2 Kappa VTVT,"51,217 km  |  Petrol  |  Kothanur, Bangalore",Rs. 6.35 Lakh
2023 Kia Seltos GTX Plus (S) 1.5 Turbo Petrol DCT [2023-2024],"3,182 km  |  Petrol  |  Kothanur, Bangalore",Rs. 18.95 Lakh
2023 Kia Seltos GTX Plus 1.5 Diesel AT,"17,466 km  |  Diesel  |  Kothanur, Bangalore",Rs. 19.49 Lakh
2023 Kia Seltos GTX Plus 1.5 Diesel AT,"24,885 km  |  Diesel  |  Kothanur, Bangalore",Rs. 19.49 Lakh
2023 Mahindra Thar LX Hard Top Petrol AT RWD,"24,120 km  |  Petrol  |  Kothanur, Bangalore",Rs. 13.95 Lakh
2022 Kia Seltos HTX IVT 1.5 [2019-2020],"22,602 km  |  Petrol  |  Adugodi, Bangalore",Rs. 13.43 Lakh
2020 Kia Seltos GTX Plus 1.4 [2020-2021],"60,517 km  |  Petrol  |  Adugodi, Bangalore",Rs. 11.71 Lakh
2023 Jeep Compass Limited (O) 2.0 Diesel 4x4 AT [2021],"19,189 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 28.75 Lakh
2021 Hyundai Elite i20 Sportz 1.2 MT [2020-2023],"27,150 km  |  Petrol  |  Kothanur, Bangalore",Rs. 7.89 Lakh
2016 Volkswagen Polo GT TSI,"29,519 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 8.75 Lakh
2023 MG Hector Plus Savvy Pro 1.5 Turbo Petrol CVT 6 STR,"29,981 km  |  Petrol  |  Kothanur, Bangalore",Rs. 19.49 Lakh
2020 Volkswagen Polo Highline Plus 1.0L TSI,"49,158 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 8.75 Lakh
2022 BMW 3-Series 330i M Sport Dark,"43,542 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 42 Lakh
2021 Hyundai i20 N Line N8 1.0 Turbo DCT,"35,263 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 9.35 Lakh
2018 Renault Duster RXS CVT,"57,077 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 7.75 Lakh
2019 Jeep Compass Limited 2.0 Diesel [2017-2020],"37,347 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 14.95 Lakh
2017 Maruti Suzuki Wagon R VXI AMT,"17,733 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 4.8 Lakh
2021 Hyundai Creta SX (O) 1.5 Diesel Automatic [2020-2022],"80,047 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 17.85 Lakh
2018 Hyundai Verna 1.6 VTVT SX (O),"64,422 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 9.99 Lakh
2017 Volkswagen Polo Comfortline 1.2L (P),"64,637 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 6.85 Lakh
2022 Kia Sonet GTX Plus 1.5 AT [2020-2021],"58,180 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 12.95 Lakh
2018 Hyundai Elite i20 Asta 1.2 CVT,"22,436 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 7.5 Lakh
2020 MG Hector Super 2.0 Diesel [2019-2020],"77,274 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 11.25 Lakh
2022 Toyota Fortuner 4X4 AT 2.8 Diesel,"72,876 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 44.5 Lakh
2018 Volkswagen Polo GT TSI,"72,420 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 9.25 Lakh
2018 Hyundai Creta SX 1.6 AT Petrol,"72,874 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 10.5 Lakh
2023 Hyundai Venue N Line N6 MT,"7,348 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 11.99 Lakh
2018 Honda BR-V V CVT Petrol,"20,909 km  |  Petrol  |  Adugodi, Bangalore",Rs. 9.11 Lakh
2022 Maruti Suzuki S-Cross Zeta,"35,410 km  |  Petrol  |  Begur, Bangalore",Rs. 9.49 Lakh
2021 Hyundai Elite i20 Asta 1.2 IVT,"31,954 km  |  Petrol  |  Kothanur, Bangalore",Rs. 8.25 Lakh
2018 Mahindra XUV500 W11 AT,"85,713 km  |  Diesel  |  Kothanur, Bangalore",Rs. 13.95 Lakh
2016 Hyundai Creta 1.6 S Petrol,"71,260 km  |  Petrol  |  Kothanur, Bangalore",Rs. 7.69 Lakh
2015 Hyundai i20 Active 1.2 S,"31,514 km  |  Petrol  |  Kothanur, Bangalore",Rs. 5.49 Lakh
2021 Skoda Kushaq Style 1.5L TSI DSG (6 Airbags),"40,859 km  |  Petrol  |  Kothanur, Bangalore",Rs. 14.89 Lakh
2020 Hyundai Grand i10 NIOS Asta AMT 1.2 Kappa VTVT,"51,217 km  |  Petrol  |  Kothanur, Bangalore",Rs. 6.35 Lakh
2023 Kia Seltos GTX Plus (S) 1.5 Turbo Petrol DCT [2023-2024],"3,182 km  |  Petrol  |  Kothanur, Bangalore",Rs. 18.95 Lakh
2023 Kia Seltos GTX Plus 1.5 Diesel AT,"17,466 km  |  Diesel  |  Kothanur, Bangalore",Rs. 19.49 Lakh
2023 Kia Seltos GTX Plus 1.5 Diesel AT,"24,885 km  |  Diesel  |  Kothanur, Bangalore",Rs. 19.49 Lakh
2023 Mahindra Thar LX Hard Top Petrol AT RWD,"24,120 km  |  Petrol  |  Kothanur, Bangalore",Rs. 13.95 Lakh
2022 Kia Seltos HTX IVT 1.5 [2019-2020],"22,602 km  |  Petrol  |  Adugodi, Bangalore",Rs. 13.43 Lakh
2020 Kia Seltos GTX Plus 1.4 [2020-2021],"60,517 km  |  Petrol  |  Adugodi, Bangalore",Rs. 11.71 Lakh
2019 Volkswagen Polo GT TSI,"46,489 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 9.75 Lakh
2023 Hyundai Creta SX (O) 1.5 Diesel AT,"49,369 km  |  Diesel  |  Begur, Bangalore",Rs. 16.99 Lakh
2019 Hyundai Elite i20 Sportz 1.2,"79,561 km  |  Petrol  |  Begur, Bangalore",Rs. 6.49 Lakh
2023 Hyundai Elite i20 Sportz 1.2 MT,"44,636 km  |  Petrol  |  Begur, Bangalore",Rs. 8.49 Lakh
2020 Kia Seltos HTX IVT 1.5 [2019-2020],"26,469 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 12.5 Lakh
2021 Tata Harrier XZA,"52,792 km  |  Diesel  |  Kothanur, Bangalore",Rs. 13.95 Lakh
2021 Mercedes-Benz E-Class E 220d Expression [2019-2019],"27,196 km  |  Diesel  |  Dubasi Palya, Bangalore",Rs. 60 Lakh
2021 Mercedes-Benz GLB 200 Progressive Line [2022-2023],"18,087 km  |  Petrol  |  Dubasi Palya, Bangalore",Rs. 53 Lakh
2017 Mercedes-Benz GLS 350 d,"93,767 km  |  Diesel  |  Dubasi Palya, Bangalore",Rs. 55 Lakh
2018 Mercedes-Benz S-Class S 350D [2018-2020],"49,505 km  |  Diesel  |  Dubasi Palya, Bangalore",Rs. 75 Lakh
2014 Audi Q7 3.0 TDI quattro Technology Pack,"62,010 km  |  Diesel  |  Dubasi Palya, Bangalore",Rs. 23 Lakh
2020 Mercedes-Benz GLC Coupe 300 4MATIC [2020-2023],"24,127 km  |  Petrol  |  Dubasi Palya, Bangalore",Rs. 58 Lakh
2023 Mercedes-Benz EQS 580 4MATIC,"20,375 km  |  Electric  |  Dubasi Palya, Bangalore",Rs. 1.15 Crore
2015 Honda Brio VX AT,"59,435 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 4.75 Lakh
2019 Honda Jazz VX CVT Petrol,"12,822 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 7.85 Lakh
2018 Honda City V,"62,861 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 7.99 Lakh
2023 Skoda Kushaq Style 1.0L TSI AT,"14,680 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 15.95 Lakh
2022 Skoda Kushaq Style 1.5L TSI DSG,"46,588 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 14.5 Lakh
2024 Volkswagen Virtus GT Plus 1.5 MT,"17,122 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 16.95 Lakh
2022 Mercedes-Benz GLC 220d 4MATIC Progressive,"39,000 km  |  Diesel  |  Rajajinagar, Bangalore",Rs. 49.5 Lakh
2021 Hyundai i20 N Line N8 1.0 Turbo iMT,"24,693 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 8.75 Lakh
2018 Volkswagen Polo GT TSI,"48,302 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 9.6 Lakh
2021 Hyundai Elite i20 Sportz 1.2 IVT [2020-2023],"60,244 km  |  Petrol  |  Begur, Bangalore",Rs. 7.99 Lakh
2022 Maruti Suzuki XL6 Alpha AT Petrol,"22,233 km  |  Petrol  |  Begur, Bangalore",Rs. 12.49 Lakh
2023 Jeep Compass Limited (O) 2.0 Diesel 4x4 AT [2021],"19,189 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 28.75 Lakh
2021 Hyundai Elite i20 Sportz 1.2 MT [2020-2023],"27,150 km  |  Petrol  |  Kothanur, Bangalore",Rs. 7.89 Lakh
2016 Volkswagen Polo GT TSI,"29,519 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 8.75 Lakh
2023 MG Hector Plus Savvy Pro 1.5 Turbo Petrol CVT 6 STR,"29,981 km  |  Petrol  |  Kothanur, Bangalore",Rs. 19.49 Lakh
2020 Volkswagen Polo Highline Plus 1.0L TSI,"49,158 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 8.75 Lakh
2022 BMW 3-Series 330i M Sport Dark,"43,542 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 42 Lakh
2021 Hyundai i20 N Line N8 1.0 Turbo DCT,"35,263 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 9.35 Lakh
2018 Renault Duster RXS CVT,"57,077 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 7.75 Lakh
2019 Volkswagen Polo GT TSI,"46,489 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 9.75 Lakh
2023 Hyundai Creta SX (O) 1.5 Diesel AT,"49,369 km  |  Diesel  |  Begur, Bangalore",Rs. 16.99 Lakh
2019 Hyundai Elite i20 Sportz 1.2,"79,561 km  |  Petrol  |  Begur, Bangalore",Rs. 6.49 Lakh
2023 Hyundai Elite i20 Sportz 1.2 MT,"44,636 km  |  Petrol  |  Begur, Bangalore",Rs. 8.49 Lakh
2020 Kia Seltos HTX IVT 1.5 [2019-2020],"26,469 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 12.5 Lakh
2021 Tata Harrier XZA,"52,792 km  |  Diesel  |  Kothanur, Bangalore",Rs. 13.95 Lakh
2021 Mercedes-Benz E-Class E 220d Expression [2019-2019],"27,196 km  |  Diesel  |  Dubasi Palya, Bangalore",Rs. 60 Lakh
2021 Mercedes-Benz GLB 200 Progressive Line [2022-2023],"18,087 km  |  Petrol  |  Dubasi Palya, Bangalore",Rs. 53 Lakh
2017 Mercedes-Benz GLS 350 d,"93,767 km  |  Diesel  |  Dubasi Palya, Bangalore",Rs. 55 Lakh
2018 Mercedes-Benz S-Class S 350D [2018-2020],"49,505 km  |  Diesel  |  Dubasi Palya, Bangalore",Rs. 75 Lakh
2014 Audi Q7 3.0 TDI quattro Technology Pack,"62,010 km  |  Diesel  |  Dubasi Palya, Bangalore",Rs. 23 Lakh
2020 Mercedes-Benz GLC Coupe 300 4MATIC [2020-2023],"24,127 km  |  Petrol  |  Dubasi Palya, Bangalore",Rs. 58 Lakh
2023 Mercedes-Benz EQS 580 4MATIC,"20,375 km  |  Electric  |  Dubasi Palya, Bangalore",Rs. 1.15 Crore
2015 Honda Brio VX AT,"59,435 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 4.75 Lakh
2021 Hyundai Creta SX 1.5 Petrol Executive,"31,771 km  |  Petrol  |  Singasandra, Bangalore",Rs. 12.99 Lakh
2019 Jeep Compass Limited Plus Petrol AT [2018-2020],"25,286 km  |  Petrol  |  Singasandra, Bangalore",Rs. 15.99 Lakh
2023 Hyundai Exter SX 1.2 MT,"8,074 km  |  Petrol  |  Singasandra, Bangalore",Rs. 7.99 Lakh
2021 Tata Safari XZ Plus,"33,490 km  |  Diesel  |  Singasandra, Bangalore",Rs. 17.45 Lakh
2018 BMW 3-Series 320d Sport Line [2016-2018],"88,236 km  |  Diesel  |  Koramangala, Bangalore",Rs. 20.75 Lakh
2016 BMW 5-Series 520d Luxury Line [2017-2019],"52,705 km  |  Diesel  |  Koramangala, Bangalore",Rs. 24.75 Lakh
2019 BMW 5-Series 530d M Sport [2017-2019],"44,850 km  |  Diesel  |  Koramangala, Bangalore",Rs. 48.75 Lakh
2023 Audi A4 Premium 40 TFSI [2021-2024],"7,018 km  |  Petrol  |  Koramangala, Bangalore",Rs. 37.75 Lakh
2016 Audi Q3 35 TDI Premium,"69,209 km  |  Diesel  |  Koramangala, Bangalore",Rs. 20.75 Lakh
2020 Mercedes-Benz GLC 220d 4MATIC Progressive [2019-2021],"90,287 km  |  Diesel  |  Koramangala, Bangalore",Rs. 37.75 Lakh
2022 Mercedes-Benz GLC 220d 4MATIC Progressive,"77,649 km  |  Diesel  |  Koramangala, Bangalore",Rs. 47.75 Lakh
2019 Mini Countryman Cooper S [2020-2021],"33,318 km  |  Petrol  |  Koramangala, Bangalore",Rs. 32.75 Lakh
2017 Land Rover Range Rover Evoque HSE,"97,399 km  |  Diesel  |  Koramangala, Bangalore",Rs. 30.75 Lakh
2020 Toyota Vellfire Hybrid,"33,064 km  |  Hybrid (Electric + Petrol)  |  Koramangala, Bangalore",Rs. 87.75 Lakh
2023 Mercedes-Benz EQS 580 4MATIC,"9,084 km  |  Electric  |  Koramangala, Bangalore",Rs. 1.05 Crore
2021 Mercedes-Benz EQC 400 4MATIC,"25,873 km  |  Electric  |  Koramangala, Bangalore",Rs. 49.75 Lakh
2013 BMW 5-Series 520d Luxury Line [2017-2019],"58,283 km  |  Diesel  |  Koramangala, Bangalore",Rs. 16.75 Lakh
2014 BMW 5-Series 520d Luxury Line [2017-2019],"66,221 km  |  Diesel  |  Koramangala, Bangalore",Rs. 18.75 Lakh
2022 Skoda Slavia Ambition 1.0L TSI MT,"42,677 km  |  Petrol  |  Singasandra, Bangalore",Rs. 11.45 Lakh
2021 Mercedes-Benz E-Class E 220 d Avantgarde,"50,079 km  |  Diesel  |  Koramangala, Bangalore",Rs. 47.75 Lakh
2019 Volvo S90 Momentum D4 [2018-2020],"25,301 km  |  Diesel  |  Koramangala, Bangalore",Rs. 39.75 Lakh
2016 BMW X5 xDrive 30d,"48,484 km  |  Diesel  |  Koramangala, Bangalore",Rs. 36.75 Lakh
2018 Ford Ecosport Titanium 1.5L Ti-VCT,"42,900 km  |  Petrol  |  Yelahanka, Bangalore",Rs. 6.75 Lakh
2022 BMW X4 xDrive30d M Sport X Black Shadow Edition,"41,900 km  |  Diesel  |  Yelahanka, Bangalore",Rs. 69.5 Lakh
2019 Honda Jazz VX CVT Petrol,"12,822 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 7.85 Lakh
2018 Honda City V,"62,861 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 7.99 Lakh
2023 Skoda Kushaq Style 1.0L TSI AT,"14,680 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 15.95 Lakh
2022 Skoda Kushaq Style 1.5L TSI DSG,"46,588 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 14.5 Lakh
2024 Volkswagen Virtus GT Plus 1.5 MT,"17,122 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 16.95 Lakh
2022 Mercedes-Benz GLC 220d 4MATIC Progressive,"39,000 km  |  Diesel  |  Rajajinagar, Bangalore",Rs. 49.5 Lakh
2021 Hyundai i20 N Line N8 1.0 Turbo iMT,"24,693 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 8.75 Lakh
2018 Volkswagen Polo GT TSI,"48,302 km  |  Petrol  |  BTM Layout, Bangalore",Rs. 9.6 Lakh
2021 Hyundai Elite i20 Sportz 1.2 IVT [2020-2023],"60,244 km  |  Petrol  |  Begur, Bangalore",Rs. 7.99 Lakh
2022 Maruti Suzuki XL6 Alpha AT Petrol,"22,233 km  |  Petrol  |  Begur, Bangalore",Rs. 12.49 Lakh
2021 Hyundai Creta SX 1.5 Petrol Executive,"31,771 km  |  Petrol  |  Singasandra, Bangalore",Rs. 12.99 Lakh
2019 Jeep Compass Limited Plus Petrol AT [2018-2020],"25,286 km  |  Petrol  |  Singasandra, Bangalore",Rs. 15.99 Lakh
2023 Hyundai Exter SX 1.2 MT,"8,074 km  |  Petrol  |  Singasandra, Bangalore",Rs. 7.99 Lakh
2021 Tata Safari XZ Plus,"33,490 km  |  Diesel  |  Singasandra, Bangalore",Rs. 17.45 Lakh
2018 BMW 3-Series 320d Sport Line [2016-2018],"88,236 km  |  Diesel  |  Koramangala, Bangalore",Rs. 20.75 Lakh
2016 BMW 5-Series 520d Luxury Line [2017-2019],"52,705 km  |  Diesel  |  Koramangala, Bangalore",Rs. 24.75 Lakh
2019 BMW 5-Series 530d M Sport [2017-2019],"44,850 km  |  Diesel  |  Koramangala, Bangalore",Rs. 48.75 Lakh
2023 Audi A4 Premium 40 TFSI [2021-2024],"7,018 km  |  Petrol  |  Koramangala, Bangalore",Rs. 37.75 Lakh
2016 Audi Q3 35 TDI Premium,"69,209 km  |  Diesel  |  Koramangala, Bangalore",Rs. 20.75 Lakh
2020 Mercedes-Benz GLC 220d 4MATIC Progressive [2019-2021],"90,287 km  |  Diesel  |  Koramangala, Bangalore",Rs. 37.75 Lakh
2022 Mercedes-Benz GLC 220d 4MATIC Progressive,"77,649 km  |  Diesel  |  Koramangala, Bangalore",Rs. 47.75 Lakh
2019 Mini Countryman Cooper S [2020-2021],"33,318 km  |  Petrol  |  Koramangala, Bangalore",Rs. 32.75 Lakh
2017 Land Rover Range Rover Evoque HSE,"97,399 km  |  Diesel  |  Koramangala, Bangalore",Rs. 30.75 Lakh
2020 Toyota Vellfire Hybrid,"33,064 km  |  Hybrid (Electric + Petrol)  |  Koramangala, Bangalore",Rs. 87.75 Lakh
2019 Mercedes-Benz GLC 300 Progressive,"55,800 km  |  Petrol  |  Yelahanka, Bangalore",Rs. 34.5 Lakh
2024 Kia Seltos HTX 1.5 IVT,"49,138 km  |  Petrol  |  Singasandra, Bangalore",Rs. 14.99 Lakh
2024 Mercedes-Benz GLS 450d 4MATIC,"11,652 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 1.42 Crore
2014 Mercedes-Benz GL-Class 350 CDI,"21,479 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 34.99 Lakh
2021 Mercedes-Benz C-Class C 220d [2022-2023],"42,380 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 31.75 Lakh
2019 Audi Q3 35 TDI quattro Technology,"89,085 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 21.95 Lakh
2022 Mercedes-Benz GLC 220d 4MATIC Progressive,"31,472 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 54.75 Lakh
2018 BMW X5 xDrive 30d,"52,800 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 44.75 Lakh
2015 Honda City VX Diesel,"1,00,827 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 6.75 Lakh
2019 Audi Q3 35 TDI quattro Technology,"52,153 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 28.95 Lakh
2015 Hyundai Elantra 1.6 SX MT,"77,389 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 7.99 Lakh
2021 Hyundai Grand i10 NIOS Asta 1.2 Kappa VTVT,"30,499 km  |  Petrol  |  Singasandra, Bangalore",Rs. 6.45 Lakh
2022 Volkswagen Virtus Highline 1.0 TSI MT,"33,987 km  |  Petrol  |  Singasandra, Bangalore",Rs. 10.85 Lakh
2021 Kia Seltos HTX 1.5 [2020-2021],"54,809 km  |  Petrol  |  Singasandra, Bangalore",Rs. 11.99 Lakh
2023 Maruti Suzuki Grand Vitara Sigma Smart Hybrid [2023-2025],"23,210 km  |  Petrol  |  Singasandra, Bangalore",Rs. 11.5 Lakh
2023 Kia Seltos GTX Plus 1.5 Turbo Petrol DCT [2023-2024],"21,759 km  |  Petrol  |  Singasandra, Bangalore",Rs. 18.45 Lakh
2019 Kia Seltos HTK Plus 1.5 Diesel [2019-2020],"62,930 km  |  Diesel  |  Singasandra, Bangalore",Rs. 12.65 Lakh
2021 Skoda Kushaq Ambition 1.0L TSI AT,"34,843 km  |  Petrol  |  Singasandra, Bangalore",Rs. 12.5 Lakh
2022 MG Hector Plus Sharp 1.5 Petrol Turbo CVT 6-STR,"23,333 km  |  Petrol  |  Singasandra, Bangalore",Rs. 16.75 Lakh
2021 Hyundai i20 N Line N8 1.0 Turbo DCT,"23,842 km  |  Petrol  |  Singasandra, Bangalore",Rs. 9.95 Lakh
2020 Kia Seltos HTX Plus AT 1.5 Diesel [2019-2020],"57,682 km  |  Diesel  |  Singasandra, Bangalore",Rs. 14.45 Lakh
2016 Maruti Suzuki Ciaz ZXi,"34,855 km  |  Petrol  |  Singasandra, Bangalore",Rs. 6.45 Lakh
2020 Hyundai Creta SX 1.5 Petrol CVT [2020-2022],"27,709 km  |  Petrol  |  Singasandra, Bangalore",Rs. 13.95 Lakh
2021 Skoda Octavia L&K 2.0,"28,235 km  |  Petrol  |  Singasandra, Bangalore",Rs. 27.5 Lakh
2023 Mercedes-Benz EQS 580 4MATIC,"9,084 km  |  Electric  |  Koramangala, Bangalore",Rs. 1.05 Crore
2021 Mercedes-Benz EQC 400 4MATIC,"25,873 km  |  Electric  |  Koramangala, Bangalore",Rs. 49.75 Lakh
2013 BMW 5-Series 520d Luxury Line [2017-2019],"58,283 km  |  Diesel  |  Koramangala, Bangalore",Rs. 16.75 Lakh
2014 BMW 5-Series 520d Luxury Line [2017-2019],"66,221 km  |  Diesel  |  Koramangala, Bangalore",Rs. 18.75 Lakh
2022 Skoda Slavia Ambition 1.0L TSI MT,"42,677 km  |  Petrol  |  Singasandra, Bangalore",Rs. 11.45 Lakh
2021 Mercedes-Benz E-Class E 220 d Avantgarde,"50,079 km  |  Diesel  |  Koramangala, Bangalore",Rs. 47.75 Lakh
2019 Volvo S90 Momentum D4 [2018-2020],"25,301 km  |  Diesel  |  Koramangala, Bangalore",Rs. 39.75 Lakh
2016 BMW X5 xDrive 30d,"48,484 km  |  Diesel  |  Koramangala, Bangalore",Rs. 36.75 Lakh
2018 Ford Ecosport Titanium 1.5L Ti-VCT,"42,900 km  |  Petrol  |  Yelahanka, Bangalore",Rs. 6.75 Lakh
2022 BMW X4 xDrive30d M Sport X Black Shadow Edition,"41,900 km  |  Diesel  |  Yelahanka, Bangalore",Rs. 69.5 Lakh
2019 Mercedes-Benz GLC 300 Progressive,"55,800 km  |  Petrol  |  Yelahanka, Bangalore",Rs. 34.5 Lakh
2024 Kia Seltos HTX 1.5 IVT,"49,138 km  |  Petrol  |  Singasandra, Bangalore",Rs. 14.99 Lakh
2024 Mercedes-Benz GLS 450d 4MATIC,"11,652 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 1.42 Crore
2014 Mercedes-Benz GL-Class 350 CDI,"21,479 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 34.99 Lakh
2021 Mercedes-Benz C-Class C 220d [2022-2023],"42,380 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 31.75 Lakh
2019 Audi Q3 35 TDI quattro Technology,"89,085 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 21.95 Lakh
2022 Mercedes-Benz GLC 220d 4MATIC Progressive,"31,472 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 54.75 Lakh
2018 BMW X5 xDrive 30d,"52,800 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 44.75 Lakh
2015 Honda City VX Diesel,"1,00,827 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 6.75 Lakh
2019 Audi Q3 35 TDI quattro Technology,"52,153 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 28.95 Lakh
2015 Hyundai Elantra 1.6 SX MT,"77,389 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 7.99 Lakh
2021 Hyundai Grand i10 NIOS Asta 1.2 Kappa VTVT,"30,499 km  |  Petrol  |  Singasandra, Bangalore",Rs. 6.45 Lakh
2022 Hyundai Grand i10 NIOS Asta AMT 1.2 Kappa VTVT,"18,234 km  |  Petrol  |  Singasandra, Bangalore",Rs. 7.5 Lakh
2019 Hyundai Grand i10 Sportz 1.2 Kappa VTVT,"48,547 km  |  Petrol  |  Singasandra, Bangalore",Rs. 4.99 Lakh
2022 Maruti Suzuki S-Presso VXi Plus (O) AMT [2022-2023],"13,385 km  |  Petrol  |  Singasandra, Bangalore",Rs. 4.99 Lakh
2019 Hyundai Creta SX 1.6 AT Petrol,"59,050 km  |  Petrol  |  Singasandra, Bangalore",Rs. 9.75 Lakh
2016 Mercedes-Benz GLA 200 Sport,"63,278 km  |  Petrol  |  Koramangala, Bangalore",Rs. 18.75 Lakh
2023 Kia Carens Luxury Plus 1.5 Diesel AT 6 STR,"26,494 km  |  Diesel  |  Singasandra, Bangalore",Rs. 17.45 Lakh
2019 Kia Seltos HTX IVT 1.5 [2019-2020],"53,568 km  |  Petrol  |  Singasandra, Bangalore",Rs. 11.25 Lakh
2018 Jeep Compass Sport 2.0 Diesel,"56,453 km  |  Diesel  |  Koramangala, Bangalore",Rs. 10.75 Lakh
2021 BMW X1 sDrive20d xLine,"24,980 km  |  Diesel  |  Yelahanka, Bangalore",Rs. 34 Lakh
2019 Honda WR-V VX MT Petrol,"31,531 km  |  Petrol  |  Singasandra, Bangalore",Rs. 6.75 Lakh
2021 Maruti Suzuki Baleno Alpha 1.2,"40,942 km  |  Petrol  |  Begur, Bangalore",Rs. 8.89 Lakh
2020 Kia Seltos HTK Plus 1.5 [2019-2020],"71,594 km  |  Petrol  |  Kothanur, Bangalore",Rs. 9.89 Lakh
2016 Toyota Innova Crysta 2.4 G 7 STR [2016-2017],"73,745 km  |  Diesel  |  BTM Layout, Bangalore",Rs. 16.95 Lakh
2023 Hyundai Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],"17,850 km  |  Petrol  |  Singasandra, Bangalore",Rs. 16.95 Lakh
2019 Hyundai Elantra 2.0 SX (O) AT,"23,460 km  |  Petrol  |  Singasandra, Bangalore",Rs. 14.65 Lakh
2015 Honda City SV CVT,"44,316 km  |  Petrol  |  Singasandra, Bangalore",Rs. 6.75 Lakh
2021 Mahindra XUV300 W8 (O) 1.2 Petrol AMT,"23,918 km  |  Petrol  |  Singasandra, Bangalore",Rs. 10.25 Lakh
2018 Audi A6 35 TDI Matrix,"63,915 km  |  Diesel  |  Koramangala, Bangalore",Rs. 21.75 Lakh
2021 Mercedes-Benz E-Class E 220 d Avantgarde,"34,713 km  |  Diesel  |  Koramangala, Bangalore",Rs. 47.75 Lakh
