o-o,o-j1,o-j5
2021 Toyota Innova Crysta 2.4 G 7 STR [2016-2017],"89,892 km  |  Diesel  |  Arupota E.M, Kolkata",Rs. 14.99 Lakh
2021 Maruti Suzuki Swift VXi [2021-2023],"57,708 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 4.99 Lakh
2020 Audi A3 35 TDI Premium + Sunroof,"59,000 km  |  Diesel  |  New Alipore, Kolkata",Rs. 18.52 Lakh
2016 BMW X5 xDrive 30d,"73,000 km  |  Diesel  |  New Alipore, Kolkata",Rs. 25.52 Lakh
2020 Maruti Suzuki Wagon R VXi 1.0 [2019-2019],"38,873 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 4.49 Lakh
2023 Honda City ZX Petrol MT [2023-2025],"1,600 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 11.93 Lakh
2013 Skoda Superb Elegance TSI AT,"22,000 km  |  Petrol + 1  |  East Kolkata Twp, Kolkata",Rs. 3.99 Lakh
2024 Hyundai Exter S 1.2 AMT [2023-2025],"19,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 6.99 Lakh
2013 Mercedes-Benz B-class B180 CDI,"65,000 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 4.49 Lakh
2025 Tata Nexon Creative Plus (S) 1.2 6AMT Dark Edition,"800 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 10.99 Lakh
2024 Tata Nexon Creative Plus 1.2 Petrol 7DCA Dark Edition [2023-2025],"5,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 11.47 Lakh
2024 Volkswagen Taigun Topline 1.0 TSI MT (Electric Seats),"9,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 13.25 Lakh
2016 Jaguar XE Portfolio,"45,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 13.35 Lakh
2018 Maruti Suzuki DZire ZXi Plus AMT,"53,530 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.31 Lakh
2024 Tata Altroz XM (S) Petrol,"5,900 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 6.79 Lakh
2021 Hyundai Aura S 1.2 Petrol,"64,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 4.89 Lakh
2022 Renault Triber RXT [2019-2020],"58,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 4.99 Lakh
2021 Maruti Suzuki Baleno Delta 1.2,"15,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 5.39 Lakh
2022 Renault Triber RXL [2019-2020],"45,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 4.99 Lakh
2017 Maruti Suzuki Ciaz Delta 1.4 AT,"25,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 3.98 Lakh
2015 Ford Ecosport Titanium 1.0 Ecoboost,"28,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 3.49 Lakh
2020 Maruti Suzuki DZire ZXi Plus AGS [2020-2023],"44,483 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 6 Lakh
2019 Hyundai Verna Fluidic 1.6 VTVT SX,"76,993 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 5.83 Lakh
2020 Renault Triber RXZ EASY-R AMT,"31,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 4.99 Lakh
2021 Hyundai Verna SX 1.5 MPi,"25,393 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 8.81 Lakh
2022 Renault Kwid RXL 0.8,"13,926 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 3.57 Lakh
2021 Hyundai Verna SX (O)1.5 MPi,"61,487 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 8.71 Lakh
2019 Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],"61,092 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.78 Lakh
2022 Honda City ZX CVT Petrol [2017-2019],"21,498 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 11.52 Lakh
2019 Renault Kwid RXL,"32,528 km  |  Petrol  |  Kolkata, Kolkata",Rs. 2.55 Lakh
2018 Honda City VX CVT Petrol,"70,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 4.99 Lakh
2019 Skoda Rapid Ambition 1.6 MPI AT,"37,800 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.25 Lakh
2019 Jeep Compass Limited Plus Diesel [2018-2020],"46,000 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 9.49 Lakh
2021 Hyundai Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,"16,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 5.49 Lakh
2015 Maruti Suzuki Wagon R VXI,"42,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 2.49 Lakh
2020 Toyota Glanza G,"26,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 5.49 Lakh
2020 Hyundai Elite i20 Sportz 1.2 MT [2020-2023],"22,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.99 Lakh
2023 Hyundai Exter SX (O) Connect 1.2 MT,"15,628 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 6.99 Lakh
2022 Renault Kiger RXL MT,"33,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 4.55 Lakh
2020 Hyundai Elite i20 Sportz 1.2 MT [2020-2023],"22,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.99 Lakh
2023 Hyundai Exter SX (O) Connect 1.2 MT,"15,628 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 6.99 Lakh
2022 Renault Kiger RXL MT,"33,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 4.55 Lakh
2018 Honda City VX CVT Petrol,"70,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 4.99 Lakh
2019 Skoda Rapid Ambition 1.6 MPI AT,"37,800 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.25 Lakh
2021 Hyundai Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,"16,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 5.49 Lakh
2015 Maruti Suzuki Wagon R VXI,"42,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 2.49 Lakh
2020 Toyota Glanza G,"26,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 5.49 Lakh
2019 Jeep Compass Limited Plus Diesel [2018-2020],"46,000 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 9.49 Lakh
2021 Hyundai Elite i20 Magna 1.2 MT [2020-2023],"63,264 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 5.35 Lakh
2018 Tata Tiago Revotron XZ,"42,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 3.79 Lakh
2016 Renault Kwid 1.0 RXT [2016-2019],"25,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 1.99 Lakh
2022 Mahindra Scorpio S11 Diesel Turbo Manual 7 STR,"86,000 km  |  Diesel  |  Arupota E.M, Kolkata",Rs. 13.75 Lakh
2022 Maruti Suzuki Celerio VXi [2017-2019],"27,493 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 4.9 Lakh
2023 Volkswagen Taigun Comfortline 1.0 TSI MT,"33,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 8.48 Lakh
2018 Honda BR-V VX Petrol,"50,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.75 Lakh
2021 Skoda Kushaq Style 1.0L TSI AT,"19,731 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 10.21 Lakh
2021 Mahindra Scorpio S5 2WD 7 STR,"84,000 km  |  Diesel  |  Arupota E.M, Kolkata",Rs. 10.49 Lakh
2023 Honda Amaze 1.2 VX CVT Petrol [2019-2020],"28,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 7.25 Lakh
2013 Honda City 1.5 S MT,"59,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 2.65 Lakh
2014 Nissan Micra XE Diesel [2013-2016],"75,000 km  |  Diesel  |  Arupota E.M, Kolkata",Rs. 1.99 Lakh
2017 Toyota Innova Crysta 2.4 G 8 STR [2016-2017],"85,000 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 11.99 Lakh
2019 Tata Tiago Revotron XTA [2017-2019],"43,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 3.6 Lakh
2017 Hyundai Eon Magna +,"17,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 2.39 Lakh
2011 Hyundai i10 Magna 1.2 Kappa2,"52,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 1.49 Lakh
2015 Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],"27,534 km  |  Petrol  |  Assembly of God Church School, Kolkata",Rs. 3 Lakh
2015 Nissan Sunny XV D,"50,000 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 2.6 Lakh
2014 Toyota Etios 1.5 V,"62,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 2.99 Lakh
2020 Kia Sonet HTE 1.2 [2020-2021],"56,000 km  |  Petrol + 1  |  East Kolkata Twp, Kolkata",Rs. 5.29 Lakh
2017 Renault Kwid CLIMBER 1.0 [2017-2019],"68,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 2.49 Lakh
2020 Hyundai Grand i10 NIOS Corporate Edition MT,"32,000 km  |  Petrol  |  Assembly of God Church School, Kolkata",Rs. 4.95 Lakh
2018 Hyundai Elite i20 Asta 1.2,"61,109 km  |  Petrol  |  Assembly of God Church School, Kolkata",Rs. 4.99 Lakh
2021 Hyundai Venue SX 1.5 Diesel,"76,583 km  |  Diesel  |  Assembly of God Church School, Kolkata",Rs. 7.59 Lakh
2011 Hyundai i10 Magna 1.2 Kappa2,"52,000 km  |  Petrol  |  Arupota E.M, Kolkata",Rs. 1.49 Lakh
2015 Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],"27,534 km  |  Petrol  |  Assembly of God Church School, Kolkata",Rs. 3 Lakh
2021 Hyundai Creta EX 1.5 Petrol [2020-2022],"50,649 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 7.8 Lakh
2016 Maruti Suzuki Ciaz ZXI+,"58,145 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 4.22 Lakh
2022 Renault Kwid CLIMBER 1.0 MT Dual Tone [2024-2025],"7,922 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 4.43 Lakh
2022 Honda City V Petrol,"25,493 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 8.69 Lakh
2022 Renault Kwid CLIMBER 1.0 (O),"39,838 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 3.98 Lakh
2020 Renault Triber RXZ EASY-R AMT,"22,042 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.4 Lakh
2023 Kia Carens Luxury Plus 1.5 Turbo Petrol DCT 7 STR [2024-2025],"25,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 13.5 Lakh
2022 Hyundai Venue S Plus 1.2 Petrol,"13,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.99 Lakh
2017 Hyundai Verna SX (O)1.6 VTVT,"70,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 5.49 Lakh
2023 MG Hector Savvy Pro 1.5 Turbo Petrol CVT [2023],"6,775 km  |  Petrol  |  Bidhan Nagar Sai Complex, Kolkata",Rs. 17.55 Lakh
2022 Hyundai Aura S 1.2 AMT Petrol,"13,540 km  |  Petrol  |  Bidhan Nagar Sai Complex, Kolkata",Rs. 6.55 Lakh
2020 Hyundai Aura SX Plus 1.2 AMT Petrol,"31,305 km  |  Petrol  |  Bidhan Nagar Sai Complex, Kolkata",Rs. 5.75 Lakh
2023 MG Hector Sharp Pro 1.5 Turbo Petrol  CVT [2023],"11,211 km  |  Petrol  |  Bidhan Nagar Sai Complex, Kolkata",Rs. 17.25 Lakh
2022 Volkswagen Taigun Topline 1.0 TSI MT,"33,023 km  |  Petrol  |  Bidhan Nagar Sai Complex, Kolkata",Rs. 10.5 Lakh
2015 Hyundai Xcent S 1.2,"65,668 km  |  Petrol  |  Kolkata, Kolkata",Rs. 2 Lakh
2018 Ford Freestyle Trend 1.2 Ti-VCT [2018-2019],"15,660 km  |  Petrol  |  Kolkata, Kolkata",Rs. 3.46 Lakh
2020 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"40,900 km  |  Petrol  |  Kolkata, Kolkata",Rs. 3.96 Lakh
2016 Datsun Redigo T [2016-2019],"16,651 km  |  Petrol  |  Kolkata, Kolkata",Rs. 1.5 Lakh
2016 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"34,118 km  |  Petrol  |  Kolkata, Kolkata",Rs. 2.97 Lakh
2017 Hyundai Grand i10 Asta 1.2 Kappa VTVT,"1,07,149 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 3.4 Lakh
2018 Skoda Octavia 1.8 TSI L&K,"51,352 km  |  Petrol  |  Kolkata, Kolkata",Rs. 13.69 Lakh
2021 Hyundai Santro Magna [2018-2020],"12,251 km  |  Petrol  |  New Town Service Centre, Kolkata",Rs. 3.65 Lakh
2019 Hyundai Elite i20 Magna Plus 1.2 [2019-2020],"52,411 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 4.5 Lakh
2021 Tata Nexon XZ Plus (O) Diesel,"78,420 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 7.98 Lakh
2015 Nissan Sunny XV D,"50,000 km  |  Diesel  |  East Kolkata Twp, Kolkata",Rs. 2.6 Lakh
2014 Toyota Etios 1.5 V,"62,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 2.99 Lakh
2020 Kia Sonet HTE 1.2 [2020-2021],"56,000 km  |  Petrol + 1  |  East Kolkata Twp, Kolkata",Rs. 5.29 Lakh
2017 Renault Kwid CLIMBER 1.0 [2017-2019],"68,000 km  |  Petrol  |  East Kolkata Twp, Kolkata",Rs. 2.49 Lakh
2020 Hyundai Grand i10 NIOS Corporate Edition MT,"32,000 km  |  Petrol  |  Assembly of God Church School, Kolkata",Rs. 4.95 Lakh
2018 Hyundai Elite i20 Asta 1.2,"61,109 km  |  Petrol  |  Assembly of God Church School, Kolkata",Rs. 4.99 Lakh
