Brand,Model,Features
Hyundai,Tucson,GLS 2WD AT Petrol
MG,Hector,Sharp 1.5 Petrol CVT
Skoda,Slavia,Style 1.0L TSI AT
Maruti Suzuki,Celerio,ZXi (O) AMT [2019-2020]
Tata,Safari,XZA Plus
Honda,WR-V,VX MT Diesel
Toyota,Corolla Altis,VL AT Petrol
Renault,Triber,RXT [2019-2020]
Hyundai,Venue,SX 1.4 CRDi
Maruti Suzuki,Wagon R,ZXi 1.2
Kia,Sonet,HTK Plus 1.2 [2020-2021]
Kia,Seltos,GTX Plus 1.5 Diesel AT
Skoda,Octavia,1.8 TSI L&K
Kia,Seltos,GTX Plus 1.4 DCT
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2016-2017]
Skoda,Octavia,1.8 TSI L&K
Hyundai,Creta,SX 1.6 AT Petrol
Jeep,Compass,Model S (O) Diesel 4x4 AT
Maruti Suzuki,Vitara Brezza,VDi
Kia,Sonet,GTX Plus 1.5 AT [2020-2021]
Tata,Tiago,Revotorq XE [2016-2019]
Jeep,Compass,Limited 1.4 Petrol AT [2017-2020]
Kia,Carnival,Limousine Plus 7 STR
Kia,Seltos,HTX 1.5 IVT
Honda,Amaze,1.2 S i-VTEC
Hyundai,Creta,1.6 SX Plus AT Petrol
Hyundai,Creta,SX 1.6 AT Petrol
Honda,City,VX CVT Petrol
Hyundai,Elantra,2.0 SX AT
Renault,Kiger,RXT (O) Turbo CVT
Maruti Suzuki,Ciaz,Zeta 1.4 AT
Tata,Altroz,XZA Plus Petrol [2022-2023]
Hyundai,Venue,S 1.2 Petrol
Honda,City,V CVT Petrol [2017-2019]
Volkswagen,Vento,Highline Petrol
Hyundai,Elite i20,Sportz 1.2 IVT [2020-2023]
Mahindra,XUV300,1.2 W4 [2019-2019]
Maruti Suzuki,Celerio,VXi CNG [2019-2020]
Mahindra,XUV500,W7 [2018-2020]
MG,Hector,Smart 1.5 DCT Petrol [2019-2020]
Skoda,Kodiaq,Sportline [2022]
Hyundai,Creta,SX (O) 1.5 Petrol CVT
Skoda,Octavia,L&K 2.0
Maruti Suzuki,DZire,ZDi
Volkswagen,Virtus,Topline 1.0 TSI AT
Tata,Harrier,XZA Plus Dual Tone
Volkswagen,Polo,GT TSI
Honda,Jazz,VX Petrol
Volkswagen,Polo,GT TSI
Honda,City,V CVT Petrol [2017-2019]
Skoda,Kushaq,Style 1.0L TSI AT
Hyundai,Creta,SX (O) 1.5 Petrol CVT
Audi,A6,35 TDI Matrix
Hyundai,Elite i20,Asta 1.2 MT [2023-2025]
Kia,Sonet,GTX Plus 1.5 Diesel iMT
Hyundai,Venue,SX 1.4 CRDi
Maruti Suzuki,Ciaz,Alpha Hybrid 1.5 AT [2018-2020]
Skoda,Rapid,Active 1.0 TSI AT
Tata,Nexon,XZA Plus (Premium) Jet
Hyundai,Venue,SX Plus 1.0 Turbo DCT
Toyota,Glanza,V Petrol Manual
Maruti Suzuki,Ertiga,Vxi CNG
Hyundai,Elite i20,Asta 1.2 AT
Tata,Altroz,XZA Plus Petrol [2022-2023]
Honda,BR-V,V Petrol
Toyota,Innova Crysta,2.4 VX 8 STR [2016-2020]
Honda,City,V
Skoda,Slavia,Ambition 1.0L TSI MT
Hyundai,Elite i20,Asta 1.2 (O) [2016]
Hyundai,Elite i20,Sportz 1.2 MT [2020-2023]
Mahindra,XUV300,W8 (O) 1.5 Diesel AMT
Maruti Suzuki,Celerio,ZXi (O) AMT [2019-2020]
Maruti Suzuki,Celerio,X Zxi AMT [2017-2019]
BMW,5-Series,520d Luxury Line
Mahindra,XUV500,W8
Hyundai,i10,Magna 1.2 Kappa2
Mercedes-Benz,S-Class,S 350D [2018-2020]
Volkswagen,Vento,TSI
Maruti Suzuki,Wagon R,VXI
Maruti Suzuki,Wagon R,VXI+
Maruti Suzuki,Baleno,Delta 1.2
Toyota,Corolla Altis,G AT Petrol
Kia,Carnival,Limousine 7 STR
Land Rover,Range Rover Velar,HSE Dynamic 2.0 Petrol
Hyundai,Creta,SX (O) 1.5 Turbo DCT Dual Tone
Tata,Nexon,Fearless Plus (S) 1.5 Diesel 6AMT Dual Tone [2023-2025]
Mercedes-Benz,V-Class,Expression ELWB [2019-2020]
Hyundai,Elite i20,Asta 1.2
Mercedes-Benz,E-Class,E200 [2024-2025]
Hyundai,Venue,SX Plus 1.0 Turbo DCT
Tata,Nexon,EV XZ Plus
BMW,3-Series,320d
Land Rover,Range Rover Velar,S R-Dynamic 2.0 Petrol
Volvo,XC60,B5 Ultimate
Land Rover,Range Rover Velar,2.0 R-Dynamic S Petrol 250 [2017-2020]
Mercedes-Benz,CLA,200 CDI Sport
Toyota,Camry,2.5L AT
Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT
Mahindra,Marazzo,M4 7 STR
Maruti Suzuki,Swift Dzire,VDI
Skoda,Superb,L&K TSI AT
Jeep,Compass,Limited 1.4 Petrol AT [2017-2020]
Toyota,Innova Crysta,2.4 VX 8 STR [2016-2020]
BMW,5-Series,520d Sedan
Hyundai,Creta,1.6 SX Plus AT
Tata,Tiago,XZA Plus [2020-2023]
Tata,Tigor,Revotron XTA
Mahindra,Thar,LX Hard Top Diesel AT 4WD [2023]
Tata,Safari,XZA Plus
Maruti Suzuki,XL6,Alpha AT Petrol
Hyundai,Venue,SX (O) 1.0 Turbo DCT
Mercedes-Benz,GLC,300 Progressive
Skoda,Slavia,Style 1.0L TSI AT
Hyundai,Creta,SX 1.6 Petrol
Tata,Nexon,XZ
Mahindra,Thar,LX Hard Top Diesel MT
Hyundai,Creta,SX 1.6 Petrol
Honda,Jazz,ZX CVT
Hyundai,Creta,SX 1.5 Petrol Executive
Skoda,Slavia,Style 1.5L TSI DSG
Maruti Suzuki,DZire,VXi
Tata,Harrier,XTA Plus
Tata,Altroz,XM Plus (S)
Honda,WR-V,VX MT Petrol
Kia,Seltos,HTX IVT 1.5 [2019-2020]
Hyundai,Creta,S Plus 1.5 Petrol Knight
Maruti Suzuki,DZire,ZXi AGS
Tata,Harrier,XZA Plus
Kia,Seltos,HTK Plus 1.5 [2019-2020]
Hyundai,Verna,EX 1.4 VTVT
Honda,City,VX CVT
Kia,Seltos,HTK Plus 1.5 Diesel AT
Hyundai,Creta,S 1.5 Petrol [2020-2022]
