Brand,Model,Features
Mercedes-Benz,AMG,GLC 43 Coupe 4MATIC
Volkswagen,Polo,Comfortline Plus 1.0L MPI
Skoda,Kushaq,Style 1.5L TSI DSG (6 Airbags)
Kia,Sonet,HTX 1.0 iMT [2020-2021]
Mercedes-Benz,C-Class,C 220d [2022-2023]
Mini,Cooper,S 3 Door [2018-2020]
Mercedes-Benz,GLA,200d Urban Edition
Audi,A6,Technology 45 TFSI [2019-2024]
Tata,Tigor,XZA Plus [2020-2023]
Audi,Q3,Sportback Technology
Tata,Tigor,XZ Plus Leatherette Pack
Tata,Altroz,Racer R3
Skoda,kylaq,Prestige AT
Tata,Altroz,XZ iCNG
Audi,Q7,Technology 55 TFSI
Audi,Q5,Technology 45 TFSI [2021-2024]
Mercedes-Benz,EQE,SUV 500 4MATIC
Mercedes-Benz,GLS,450 4MATIC
Mercedes-Benz,E-Class,E 220 d Avantgarde
Toyota,Innova Crysta,2.4 G 8 STR [2016-2017]
BMW,X3,xDrive 20d Luxury Line [2018-2020]
Toyota,Innova Crysta,2.8 ZX AT 7 STR [2016-2020]
Mercedes-Benz,GLE,450 4MATIC LWB
Kia,Sonet,GTX Plus 1.0 iMT [2020-2021]
Kia,Seltos,HTX 1.5 [2020-2021]
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa AMT
Tata,Punch,Accomplished MT [2021-2023]
Renault,Kiger,RXZ Turbo CVT
Tata,Nexon,XZA Plus (O) Diesel
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG
Kia,Sonet,GTX Plus 1.5 AT [2020-2021]
Tata,Altroz,XZA Plus Petrol [2022-2023]
Tata,Nexon,XZ Plus
Maruti Suzuki,Alto 800,Lxi (Airbag) [2012-2015]
Kia,Sonet,HTX 1.0 iMT [2020-2021]
Tata,Nexon,XZA Plus (S)
Tata,Harrier,XZA Plus
Maruti Suzuki,Swift,VXi AMT
Maruti Suzuki,Wagon R,LXi (O) 1.0 CNG
Hyundai,Santro,GL
Tata,Nexon,XZA Plus Kaziranga
Ford,Ecosport,S Petrol [2019-2020]
Hyundai,Grand i10 Nios,Asta 1.2 Kappa VTVT
Maruti Suzuki,Swift Dzire,ZXI
Tata,Tigor,XZA Plus [2020-2023]
Volkswagen,Polo,Comfortline 1.2L (P)
Tata,Harrier,XZA Plus Dark Edition
Maruti Suzuki,Ciaz,ZXI+
Tata,Punch,Accomplished MT [2021-2023]
Tata,Altroz,XM Plus Petrol
Tata,Harrier,XZA Plus Dark Edition
Hyundai,Venue,SX 1.2 Petrol
Hyundai,Creta,SX 1.6 AT Petrol
Tata,Harrier,Kaziranga XZA Plus
Tata,Nexon,XZ Plus (S) [2022-2023]
Maruti Suzuki,Wagon R,ZXI Plus 1.2 AGS [2023-2025]
Maruti Suzuki,Alto K10,VXi [2023-2024]
Tata,Nexon,Creative Plus 1.2 Petrol 6AMT [2023-2025]
Honda,WR-V,VX MT Petrol
Maruti Suzuki,DZire,VXi
Honda,City,VX Petrol CVT [2023-2025]
Hyundai,Venue,S (O) Plus 1.2 Petrol
Kia,Seltos,GTX Plus 1.4 DCT
Mahindra,Thar,LX Hard Top Diesel MT 4WD
Hyundai,Verna,SX (O) 1.5 Turbo Petrol DCT
Hyundai,Verna,EX 1.4 VTVT
Tata,Altroz,Racer R3
Kia,Sonet,HTX 1.0 iMT [2020-2021]
Tata,Nexon,XZA Plus (Premium) Jet
Renault,Duster,RXS CVT
Maruti Suzuki,Baleno,Alpha Automatic
Hyundai,Venue,SX (O) 1.0 Turbo DCT
Mahindra,Thar,LX Hard Top Diesel AT 4WD [2023]
Mahindra,Thar,LX Hard Top Diesel AT 4WD [2023]
Mahindra,XUV700,AX 7 Petrol AT Luxury Pack 7 STR [2021]
Jeep,Compass,Model S (O) Diesel 4x4 AT
Tata,Nexon,XM
Kia,Seltos,GTX Plus 1.5 Turbo Petrol DCT [2023-2024]
Maruti Suzuki,Swift,ZXi
MG,Hector,Sharp 2.0 Diesel [2019-2020]
Mahindra,XUV700,AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR
Mahindra,XUV500,W8 AT [2015-2017]
Maruti Suzuki,Vitara Brezza,ZDi Plus
Volkswagen,Taigun,GT Plus 1.5 TSI DSG
Mahindra,XUV700,AX7 Luxury Pack 2WD Diesel 2.2L Turbo Automatic 7 STR
BMW,X1,sDrive20d xLine
Volkswagen,Taigun,Topline 1.0 TSI MT
Tata,Harrier,XT Plus
Hyundai,Venue,S 1.2 Petrol
BMW,X1,sDrive20d xLine
BMW,3-Series,330i M Sport Edition
BMW,3-Series,320d Luxury Line
BMW,5-Series,520d Luxury Line [2017-2019]
Hyundai,Creta,SX 1.6 AT Petrol
Hyundai,Venue,N Line N6 MT
Honda,BR-V,V CVT Petrol
Maruti Suzuki,S-Cross,Zeta
Hyundai,Creta,1.6 S Petrol
Hyundai,i20,Active 1.2 S
Skoda,Kushaq,Style 1.5L TSI DSG (6 Airbags)
Hyundai,Grand i10 Nios,Asta AMT 1.2 Kappa VTVT
Kia,Seltos,GTX Plus (S) 1.5 Turbo Petrol DCT [2023-2024]
Kia,Seltos,GTX Plus 1.5 Diesel AT
Kia,Seltos,GTX Plus 1.5 Diesel AT
Mahindra,Thar,LX Hard Top Petrol AT RWD
Mahindra,XUV500,W11 AT
Hyundai,Elite i20,Asta 1.2 IVT
Hyundai,Elite i20,Sportz 1.2 MT [2020-2023]
Kia,Seltos,HTX IVT 1.5 [2019-2020]
Kia,Seltos,GTX Plus 1.4 [2020-2021]
Jeep,Compass,Limited (O) 2.0 Diesel 4x4 AT [2021]
Volkswagen,Polo,GT TSI
MG,Hector Plus,Savvy Pro 1.5 Turbo Petrol CVT 6 STR
BMW,3-Series,330i M Sport Dark
Volkswagen,Polo,Highline Plus 1.0L TSI
Hyundai,i20 N Line,N8 1.0 Turbo DCT
Renault,Duster,RXS CVT
Mercedes-Benz,GLC,300 Progressive
Kia,Seltos,HTX 1.5 IVT
Mercedes-Benz,GL-Class,350 CDI
Audi,Q3,35 TDI quattro Technology
Mercedes-Benz,GLC,220d 4MATIC Progressive
BMW,X5,xDrive 30d
Honda,City,VX Diesel
Hyundai,Elantra,1.6 SX MT
Mercedes-Benz,GLS,450d 4MATIC
Audi,Q3,35 TDI quattro Technology
Mercedes-Benz,C-Class,C 220d [2022-2023]
Toyota,Corolla Altis,GL Petrol
MG,Astor,Sharp Pro 1.5 CVT (Ivory)
Hyundai,Grand i10 Nios,Asta 1.2 Kappa VTVT
Volkswagen,Virtus,Highline 1.0 TSI MT
Kia,Seltos,HTX 1.5 [2020-2021]
Maruti Suzuki,Grand Vitara,Sigma Smart Hybrid [2023-2025]
Hyundai,Elite i20,Sportz 1.2 IVT Dual Tone
Hyundai,Creta,SX 1.5 Petrol CVT [2020-2022]
Maruti Suzuki,Baleno,Delta 1.2
Kia,Seltos,HTX 1.5 IVT
Kia,Seltos,GTX Plus 1.5 Turbo Petrol DCT [2023-2024]
Kia,Seltos,HTK Plus 1.5 Diesel [2019-2020]
Skoda,Kushaq,Ambition 1.0L TSI AT
Skoda,Slavia,Style 1.0L TSI MT
Tata,Harrier,XZA Plus
Skoda,Slavia,Style 1.0L TSI AT
Ford,Ecosport,Titanium+ 1.0L EcoBoost
Mercedes-Benz,G-Class,AMG G 63 Grand Edition
Mercedes-Benz,GLS,400d 4MATIC [2020-2023]
Volkswagen,Polo,Highline1.2L (P)
Honda,Jazz,V Petrol
Mahindra,XUV700,AX7 Luxury Pack 2WD Petrol 2.0L Turbo Automatic 7 STR
Tata,Nexon,Creative Plus (S) 1.2 6AMT
Honda,Jazz,V Petrol
Hyundai,Santro,Sportz AMT [2018-2020]
Skoda,Kodiaq,Style 2.0 TDI 4x4 AT
Renault,Duster,RxL Petrol
Skoda,Octavia,1.8 TSI L&K
Tata,Safari,XZA Plus
Hyundai,Creta,SX 1.5 Petrol
Mercedes-Benz,CLA,200 CDI Sport
Honda,Jazz,V CVT Petrol
Land Rover,Range Rover Velar,S R-Dynamic 2.0 Petrol
Hyundai,i20,Magna (O) 1.4 CRDI
BMW,3 Series,Gran Limousine 330Li Luxury Line
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT
BMW,X1,sDrive20i SportX
Mercedes-Benz,GLA,45 AMG
Toyota,Fortuner,2.8 4x4 AT
Maruti Suzuki,Celerio,VXi AMT
Maruti Suzuki,Baleno,Zeta Automatic
Hyundai,Venue,S Plus 1.5 CRDi
Hyundai,Alcazar,Signature (O) 7 Seater 1.5 Diesel AT
Kia,Carens,Prestige Plus 1.4 Petrol DCT 7 STR
Skoda,Rapid,Style 1.5 TDI AT
Mini,Countryman,Cooper S JCW Inspired
Mercedes-Benz,E-Class,E 350 d Exclusive [2017-2019]
Mercedes-Benz,GLE,350 d
Hyundai,Elite i20,Asta (O) 1.2 MT
Hyundai,Alcazar,Signature (O) 6 STR 1.5 Diesel AT
Toyota,Fortuner,2.8 4x2 AT [2016-2020]
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT Dual Tone
Maruti Suzuki,Swift,ZXi
Ford,Ecosport,Titanium 1.5L Ti-VCT Black Edition AT
Land Rover,Range Rover Evoque,HSE Dynamic
MG,Gloster,Savvy 6 STR 2.0 Twin Turbo 4WD
Tata,Nexon,EV XZ Plus
Honda,City,V
Jaguar,XF,2.2 Diesel
Jeep,Meridian,Limited (O) 4X4 AT [2022]
Tata,Tiago,Revotron XM [2016-2019]
Maruti Suzuki,Ciaz,Alpha 1.5
Honda,Amaze,1.2 VX MT Petrol [2018-2020]
Honda,Brio,VX MT
Hyundai,Creta,SX (O) 1.4 Turbo 7 DCT
Mahindra,XUV500,W11
Maruti Suzuki,Wagon R,LXi
Hyundai,Creta,SX (O) 1.5 Petrol CVT
Hyundai,Creta,SX 1.5 Petrol [2020-2022]
Hyundai,Creta,E Plus 1.6 Petrol
Mahindra,Thar,LX Hard Top Diesel MT 4WD
Mahindra,Thar,LX Hard Top Diesel AT 4WD [2023]
Maruti Suzuki,Swift,ZXi AMT [2018-2019]
Hyundai,Creta,SX (O) 1.5 Diesel AT
Hyundai,Verna,SX (O) 1.5 CRDi
Maruti Suzuki,Swift Dzire,VXI
Kia,Seltos,GTX Plus 1.4 DCT
Hyundai,Venue,SX 1.2 Petrol
Maruti Suzuki,Ignis,Delta 1.2 MT
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT
Toyota,Innova Crysta,2.4 V Diesel
Hyundai,Creta,SX (O) 1.4 Turbo 7 DCT [2020-2022]
Skoda,Kushaq,Ambition 1.0 TSI AT
Hyundai,Creta,SX 1.4 Turbo 7 DCT
Hyundai,Creta,SX 1.6 AT Petrol
Honda,City,VX CVT Petrol
Kia,Seltos,GTX Plus 1.5 Diesel AT Dual Tone
Hyundai,Creta,SX 1.6 AT Petrol
Hyundai,Creta,SX 1.5 Diesel Executive
Tata,Harrier,XTA Plus Dark Edition
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT
Honda,City,V
Hyundai,Creta,SX Plus 1.6 Petrol
Honda,WR-V,VX MT Petrol
MG,Hector,Sharp 1.5 DCT Petrol [2019-2020]
Kia,Seltos,HTE 1.5 Diesel iMT [2023-2024]
Maruti Suzuki,Ciaz,Alpha Hybrid 1.5 AT [2018-2020]
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa AMT
Ford,Ecosport,Titanium + 1.5L TDCi
Maruti Suzuki,Swift,ZXi CNG
Maruti Suzuki,Vitara Brezza,ZXi [2023-2025]
Volkswagen,Polo,Highline Plus 1.0L TSI AT
Skoda,Slavia,Style 1.0L TSI AT
MG,Astor,Sharp 1.5 CVT Old Generation [2021-2023]
Honda,Amaze,1.2 VX AT i-VTEC
Maruti Suzuki,Vitara Brezza,VDi (O) [2016-2018]
Jeep,Compass,Limited Plus 2.0 Diesel 4x4 AT
Hyundai,Elantra,2.0 SX (O) AT
Mercedes-Benz,GLE,250 d
Skoda,Superb,L&K TSI AT
Skoda,Superb,Style TSI AT
Skoda,Octavia,2.0 TDI L&K
BMW,5-Series,525d Sedan
Porsche,Cayenne,Diesel
Ford,Endeavour,Titanium 2.2 4x2 AT
Audi,Q7,45 TDI Technology Pack
Volvo,XC90,B6 Ultimate [2022-2023]
BMW,5-Series,520d Sedan
Hyundai,Creta,EX 1.5 Diesel [2020-2022]
Toyota,Fortuner,2.8 4x2 AT [2016-2020]
Mercedes-Benz,E-Class,E 250 CDI Edition E
Volvo,XC40,Inscription
BMW,X3,xDrive 20d Luxury Line [2018-2020]
Tata,Harrier,XZA Plus Dark Edition
Porsche,Cayenne,Diesel
Tata,Harrier,XZA Plus Camo
Mercedes-Benz,A-Class Limousine,200d
Volkswagen,Virtus,Topline 1.0 TSI AT
Volvo,XC60,Summum D5
Audi,A3,35 TDI Premium
Toyota,Vellfire,VIP – Executive Lounge Hybrid (Electric + Petrol) Automatic
Honda,City,V Diesel
Hyundai,Creta,SX (O) 1.5 Petrol CVT [2020-2022]
Hyundai,Creta,SX Plus 1.6 Petrol
Kia,Carens,Luxury (O)1.5 Turbo Petrol DCT 7 STR [2023-2024]
Audi,Q3,40 TFSI Technology [2022-2024]
Volkswagen,Taigun,Topline 1.0 TSI MT
Mahindra,Thar,LX Convertible Top Diesel AT 4WD
Maruti Suzuki,Ciaz,Zeta Hybrid 1.5 [2018-2020]
Honda,Jazz,V Petrol
Jeep,Compass,Limited (O) 1.4 Petrol AT [2017-2020]
Kia,Seltos,HTX 1.5 Diesel AT
Audi,A6,35 TDI Matrix
Hyundai,Creta,SX 1.6 CRDi
Maruti Suzuki,Ciaz,VXi+
Maruti Suzuki,Baleno,Zeta 1.2 AT
Toyota,Innova Crysta,2.4 VX 7 STR [2016-2020]
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2013-2016]
Hyundai,Grand i10,Magna AT 1.2 Kappa VTVT
Hyundai,i20,Active 1.2 Base
Honda,Jazz,S Petrol
Hyundai,Creta,SX (O) 1.5 Diesel AT
Maruti Suzuki,Ciaz,Alpha 1.4 MT
Hyundai,Alcazar,Platinum 7 STR 1.5 Diesel
Hyundai,Creta,SX 1.5 Petrol CVT
Maruti Suzuki,Swift,ZXi AMT [2018-2019]
Hyundai,Creta,E 1.5 Diesel [2020-2022]
Maruti Suzuki,Alto,VXI
Toyota,Fortuner,4X2 2WD Diesel Turbo Automatic Dual Tone
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2013-2016]
Hyundai,Creta,SX Plus 1.6 Petrol
Honda,City,ZX CVT Petrol [2017-2019]
Toyota,Innova Crysta,2.8 GX AT 7 STR [2016-2020]
BMW,X3,xDrive 30i Luxury Line [2018-2019]
Hummer,H2,SUV
Hyundai,Creta,SX 1.5 Petrol CVT
Honda,City,SV CVT
Hyundai,Creta,S Plus 1.5 Petrol Knight Dual Tone
Tata,Harrier,XZA Plus
Hyundai,Grand i10,Magna 1.2 Kappa VTVT [2016-2017]
Jeep,Meridian,Limited (O) 4X4 AT [2022]
Ford,Endeavour,Titanium 3.2 4x4 AT
Audi,Q3,30 TDI Premium FWD
BMW,X4,xDrive30i M Sport X
Hyundai,Grand i10,Sportz (O) U2 1.2 CRDi [2017-2018]
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2013-2016]
MG,Hector Plus,Sharp Pro 2.0 Turbo Diesel 7 STR [2023]
Hyundai,Alcazar,Prestige 7 STR 2.0 Petrol
Jeep,Compass,Limited 1.4 Petrol AT [2017-2020]
Mercedes-Benz,E-Class,E 220 D
Mercedes-Benz,GLA,200 CDI Sport
Tata,Tiago,Revotron XZA
Maruti Suzuki,Swift,VXi
Volvo,XC90,D5 Inscription
Jaguar,F-Pace,Prestige Petrol
Mercedes-Benz,GLS,400d 4MATIC [2020-2023]
Volvo,XC40,T4 R-Design
Hyundai,i10,1.2 L Kappa Magna Special Edition
Land Rover,Range Rover Sport,HSE 2.0 Petrol
BMW,6-Series,GT 630i M Sport [2021-2023]
Renault,Kwid,1.0 RXT [2016-2019]
BMW,3-Series,320d Sport Shadow Edition
Tata,Tiago,XZ Plus [2020-2023]
Jeep,Compass,Limited (O) 2.0 Diesel [2017-2020]
Maruti Suzuki,Ciaz,Delta 1.4 MT
Maruti Suzuki,Swift,VXi
Maruti Suzuki,Vitara Brezza,ZXi
Tata,Harrier,XZ [2019-2020]
Maruti Suzuki,DZire,VDi AMT
Hyundai,Verna,SX (O) 1.6 CRDi
BMW,2 Series,Gran Coupe 220d Sportline
Mahindra,Thar,LX Hard Top Petrol AT 4WD
Maruti Suzuki,Eeco,5 STR WITH A/C+HTR CNG [2017-2019]
Volkswagen,Virtus,Highline 1.0 TSI AT
Volvo,XC90,D5 Inscription
Land Rover,Discovery Sport,SE R-Dynamic [2023-2024]
BMW,X1,sDrive20d xLine
BMW,7-Series,730Ld Sedan
Mercedes-Benz,AMG,GLC 43 Coupe 4MATIC [2020-2023]
BMW,X1,sDrive20d Expedition
Jaguar,XF,2.2 Diesel
Mercedes-Benz,E-Class,450 4MATIC [2024-2025]
BMW,3-Series,325i
Mercedes-Benz,GLS,400d 4MATIC [2020-2023]
Skoda,Kushaq,Style 1.0L TSI AT
Kia,Sonet,GTX Plus 1.0 iMT [2020-2021]
BMW,3 Series,GT 320d Luxury Line [2014-2016]
Mercedes-Benz,GLS,400d 4MATIC [2020-2023]
Toyota,Fortuner,3.0 4x4 MT
Ford,Endeavour,Titanium 3.2 4x4 AT
Kia,Sonet,HTK Plus 1.0 iMT [2020-2021]
Tata,Harrier,XZA
Toyota,Fortuner,4x2 2WD Diesel 2.8L Turbo 6 Speed Manual
Mercedes-Benz,GLS,400d 4MATIC [2020-2023]
BMW,X5,xDrive30d Pure Experience (5 Seater)
Audi,A6,35 TFSI
Maruti Suzuki,Vitara Brezza,ZDi
Hyundai,i10,1.1L iRDE Magna Special Edition
Hyundai,Santro,Magna AMT [2018-2020]
Jeep,Compass,Limited (O) 2.0 Diesel 4x4 [2017-2020]
Audi,Q3,30 TDI Premium FWD
Honda,CR-V,2.0L 2WD AT
Lamborghini,Huracan,LP 610-4
Kia,Sonet,HTX Plus 1.0 iMT [2020-2021]
Skoda,Kushaq,Style 1.5L TSI DSG
Ford,Endeavour,Trend 3.2 4x4 AT
Kia,Seltos,GTX Plus 1.5 Diesel AT
Hyundai,Creta,SX (O) 1.5 Diesel [2020-2022]
Toyota,Fortuner,3.0 4x2 MT
Mercedes-Benz,C-Class,220 BlueEfficiency
Tata,Harrier,XZA
BMW,7-Series,730Ld
Toyota,Innova Crysta,2.8 GX AT 7 STR [2016-2020]
Renault,Kiger,RXT (O) MT
Hyundai,Grand i10,Magna 1.2 Kappa VTVT [2017-2020]
Kia,Sonet,GTX Plus 1.0 iMT [2020-2021]
Hyundai,i10,1.2 L Kappa Magna Special Edition
Kia,Seltos,GTX Plus 1.4 DCT
Hyundai,Exter,SX 1.2 CNG MT
Mercedes-Benz,AMG,GLC 43 Coupe 4MATIC [2020-2023]
BMW,3-Series,320d
Maruti Suzuki,Celerio,ZXi Plus [2021-2023]
Tata,Nexon,XM Diesel
Maruti Suzuki,Vitara Brezza,VDi (O) [2016-2018]
Kia,Seltos,GTX Plus AT 1.5 Diesel [2019-2020]
Maruti Suzuki,Alto 800,LXi (O)
Maruti Suzuki,Alto,VXi
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG
Tata,Nexon,Fearless Plus (S) 1.2 Petrol 7DCA Dual Tone [2023-2025]
Hyundai,Creta,1.6 SX Plus
BMW,X1,sDrive20d Expedition
Toyota,Innova Crysta,2.8 ZX AT 7 STR [2016-2020]
Toyota,Innova Crysta,2.8 GX AT 7 STR [2016-2020]
Toyota,Fortuner,4X4 AT 2.8 Diesel
Mahindra,XUV300,W6 1.5 Diesel
BMW,5-Series,520d Sedan
Audi,A6,Technology 45 TFSI [2019-2024]
Hyundai,Creta,SX (O) 1.5 Diesel AT
Mercedes-Benz,CLA,200 CDI Style
Mercedes-Benz,GLA,220d [2021-2023]
Toyota,Fortuner,4x2 AT
Hyundai,Creta,E Plus 1.6 Petrol
Honda,City,S
Toyota,Corolla Altis,G Diesel
Mahindra,Alturas,G4 4WD AT
Toyota,Corolla Altis,G Diesel
Volvo,XC40,T4 R-Design
Volkswagen,Taigun,Topline 1.0 TSI AT (Electric Seats)
Land Rover,Discovery Sport,HSE Luxury 7-Seater
Hyundai,Elantra,1.6 SX (O) AT
Maruti Suzuki,Alto 800,LXi
Hyundai,Creta,SX (O) 1.5 Diesel AT
Land Rover,Range Rover Sport,SE 3.0 Diesel [2018-2020]
Honda,City,VX CVT
Honda,Amaze,1.5 S i-DTEC
BMW,5-Series,530d M Sport [2017-2019]
Honda,City,SV Diesel
Hyundai,Grand i10,Sportz U2 1.2 CRDi
Ford,Endeavour,Titanium Plus 2.0 4x2 AT
Volkswagen,Polo,GT TSI
Audi,Q7,45 TDI Technology Pack
Hyundai,Grand i10,Magna AT 1.2 Kappa VTVT
Audi,Q3,35 TDI Premium + Sunroof
Hyundai,Tucson,2WD AT GLS Diesel
Mahindra,Thar,LX Hard Top Petrol AT 4WD
Jeep,Meridian,Limited (O) 4X2 AT [2022]
Mahindra,XUV500,W6
Maruti Suzuki,XL6,Zeta MT CNG [2023-2025]
Volvo,XC60,B5 Ultimate
MG,Gloster,Savvy 6 STR 2.0 Twin Turbo 4WD
Land Rover,Discovery Sport,HSE 7-Seater
Mercedes-Benz,GLC,220 d Progressive
Maruti Suzuki,Wagon R,VXI AMT
Tata,Tiago,Revotron XTA [2017-2019]
BMW,3 Series,GT 320d Luxury Line [2014-2016]
Lexus,NX,350h Overtrail Grade [2024-2025]
MG,Gloster,Sharp 6 STR 2.0 Twin Turbo 4WD
Audi,Q7,45 TDI Technology Pack
Audi,Q3,35 TDI quattro Technology
Audi,Q3,35 TDI quattro Technology
Maruti Suzuki,Vitara Brezza,VXi AT SHVS
Mahindra,Thar,LX Hard Top Petrol AT 4WD
Renault,Kwid,CLIMBER 1.0 AMT
Hyundai,Elite i20,Sportz 1.2 [2016-2017]
Skoda,Rapid,Style AT
Honda,Brio,S MT
Maruti Suzuki,Grand Vitara,Sigma Smart Hybrid [2023-2025]
Tata,Tiago,Revotron XM [2016-2019]
Bentley,Continental,GT V8
Hyundai,Creta,SX (O) 1.5 Diesel [2020-2022]
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG
Mercedes-Benz,S-Class,S 350d
BMW,7-Series,740i M Sport
Land Rover,Range Rover Sport,V8 SC Autobiography
Mercedes-Benz,S-Class,S 500
Toyota,Fortuner,2.8 4x4 AT
Land Rover,Defender,110 X-Dynamic HSE 2.0 Petrol
Mercedes-Benz,GLS,400d 4MATIC [2020-2023]
Volvo,S90,D4 Inscription
Mercedes-Benz,GLS,400d 4MATIC [2020-2023]
Land Rover,Range Rover,3.0 V6 Diesel Vogue LWB
Audi,A6,35 TDI Matrix
Audi,A3,40 TFSI
Land Rover,Range Rover,3.0 V6 Diesel Vogue
BMW,3-Series,320d Prestige
Jaguar,XJ,50
Maserati,Ghibli,Diesel
Mercedes-Benz,GL-Class,350 CDI
Mercedes-Benz,E-Class,E 220d Exclusive
Jaguar,XF,Portfolio Diesel
Mercedes-Benz,GLE,300d 4MATIC LWB [2020-2023]
BMW,3 Series,GT 320d Luxury Line
Land Rover,Range Rover Evoque,HSE Dynamic
Mercedes-Benz,GL-Class,350 CDI
Mercedes-Benz,GLC,220 d Progressive
Tata,Harrier,Kaziranga XZA Plus
Maruti Suzuki,Alto 800,VXi (O)
Maruti Suzuki,Grand Vitara,Zeta Plus Intelligent Hybrid eCVT [2022-2023]
Hyundai,Alcazar,Platinum (O) 7 Seater 1.5 Diesel AT
Volkswagen,Virtus,GT Plus 1.5 TSI EVO DSG
Honda,Amaze,1.2 VX CVT Petrol [2019-2020]
Tata,Punch,Accomplished MT [2021-2023]
Honda,Amaze,1.2 VX CVT Petrol [2019-2020]
Tata,Punch,Accomplished AMT
Mahindra,Thar,LX Hard Top Diesel AT 4WD [2023]
Hyundai,Creta,SX (O) 1.5 Diesel Automatic [2020-2022]
Skoda,Slavia,Ambition 1.0L TSI MT
Volkswagen,Vento,Highline 1.2 (P) AT
Honda,City,ZX Petrol
Maruti Suzuki,Fronx,Alpha 1.0L Turbo 6 AT Dual Tone
Maruti Suzuki,Alto,VXi
Nissan,Sunny,XL
Volkswagen,Polo,Highline Plus 1.5 (D) 16 Alloy
Hyundai,Verna,S 1.5 Petrol MT
Maruti Suzuki,Wagon R,LXi
Maruti Suzuki,Baleno,Zeta
Kia,Seltos,HTX 1.5 Diesel
Hyundai,Elite i20,Asta 1.2 (O) [2019-2020]
Renault,Kwid,RXL [2015-2019]
Toyota,Urban Cruiser,Taisor V Petrol 1.0L Turbo Automatic (TC)
Maruti Suzuki,Swift,VXi
Hyundai,Elite i20,Asta (O) 1.2 MT [2020-2023]
Ford,Ecosport,Titanium + 1.5L Ti-VCT AT
Tata,Punch,Adventure Rhythm iCNG
Tata,Punch,Pure iCNG [2023-2024]
Skoda,Kushaq,Ambition 1.0L TSI AT
Volkswagen,Polo,Comfortline 1.0L (P)
Volkswagen,Polo,Comfortline 1.0L MPI
Maruti Suzuki,Baleno,Delta
Hyundai,Alcazar,Platinum 7 STR 2.0 Petrol
Mahindra,Scorpio,Z8 L Petrol AT 6 STR [2023-2024]
Hyundai,Santro,Sportz CNG [2018-2020]
Honda,Brio,VX MT
Maruti Suzuki,S-Presso,VXi Plus
Kia,Sonet,HTX 1.0 iMT [2020-2021]
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG
Maruti Suzuki,Alto K10,VXi Plus (O)
Mercedes-Benz,E-Class,E 250 CDI Avantgarde
Tata,Nexon,XZ Plus (O)
Tata,Altroz,XZ Plus Petrol [2021-2023]
Maruti Suzuki,Baleno,Zeta
Maruti Suzuki,DZire,ZDi Plus
Kia,Seltos,HTK Plus 1.5 iMT
Skoda,Kushaq,Style 1.0L TSI AT
Tata,Punch,Adventure MT [2021-2023]
Mahindra,XUV300,AX7L 1.2 Petrol AT
Kia,Sonet,GTX Plus 1.5 AT Dual Tone
Hyundai,Alcazar,Signature (O) 6 STR 2.0 Petrol AT
Hyundai,Eon,Sportz
Hyundai,Verna,SX (O) 1.5 CRDi AT
Hyundai,Eon,Magna +
Tata,Punch,Accomplished MT [2021-2023]
Toyota,Glanza,V AMT [2022-2023]
Honda,Amaze,1.2 S i-VTEC
Hyundai,Verna,SX (O) 1.0 Turbo DCT
Volkswagen,Virtus,Highline 1.0 TSI AT
Kia,Seltos,GTX Plus 1.4 [2020-2021]
Maruti Suzuki,Celerio,VXi AMT
Honda,Brio,S MT
Skoda,Kushaq,Ambition 1.0L TSI AT
Maruti Suzuki,Eeco,5 STR AC (O) CNG
Hyundai,Verna,1.6 VTVT SX
Skoda,Kushaq,Ambition 1.0L TSI AT
Mahindra,Thar,LX Hard Top Diesel MT 4WD
Renault,Kwid,RXL (O) 1.0
Toyota,Glanza,G
Tata,Tiago,Revotron XZ w/o Alloy [2018-2019]
Ford,Ecosport,Titanium + 1.5L Ti-VCT AT
Hyundai,Eon,Magna +
Honda,Jazz,V Petrol
Kia,Seltos,GTX Plus 1.4 DCT
Kia,Carens,Prestige Plus (O) 1.5 Turbo Petrol DCT 7 STR
Honda,Amaze,1.2 VX i-VTEC
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2016-2017]
Tata,Harrier,XZ [2019-2020]
Honda,WR-V,VX MT Petrol
Hyundai,Elite i20,Magna 1.2
Hyundai,Elite i20,Magna 1.2
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT
Maruti Suzuki,Vitara Brezza,ZXi Plus
