o-o,o-j1,o-j5
2020 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"72,518 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 4.91 Lakh
2018 Toyota Innova Crysta 2.4 V Diesel,"89,440 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 16.51 Lakh
2021 Hyundai Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],"85,992 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 11 Lakh
2019 Honda City V,"48,319 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 7.25 Lakh
2016 Hyundai Creta SX Plus 1.6  Petrol,"92,650 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 7.2 Lakh
2019 Honda WR-V VX MT Petrol,"20,146 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 7.35 Lakh
2019 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"66,776 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 10.5 Lakh
2023 Kia Seltos HTE 1.5 Diesel iMT [2023-2024],"51,885 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 11 Lakh
2018 Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],"51,062 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 6.35 Lakh
2023 Hyundai Grand i10 NIOS Sportz 1.2 Kappa AMT,"33,750 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 6.65 Lakh
2020 Ford Ecosport Titanium + 1.5L TDCi,"94,330 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 7.33 Lakh
2024 Maruti Suzuki Swift ZXi CNG,"51,803 km  |  CNG  |  Makarba, Ahmedabad",Rs. 7.75 Lakh
2022 Maruti Suzuki Vitara Brezza ZXi [2023-2025],"67,387 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 9.65 Lakh
2020 Volkswagen Polo Highline Plus 1.0L TSI AT,"49,415 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 7.25 Lakh
2022 Skoda Slavia Style 1.0L TSI AT,"20,419 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 12.51 Lakh
2022 MG Astor Sharp 1.5 CVT Old Generation [2021-2023],"9,475 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 11.5 Lakh
2017 Honda Amaze 1.2 VX AT i-VTEC,"70,622 km  |  Petrol + 1  |  Bopal, Ahmedabad",Rs. 4.5 Lakh
2017 Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],"75,787 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 7.4 Lakh
2020 Jeep Compass Limited Plus 2.0 Diesel 4x4 AT,"97,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 12.75 Lakh
2021 Hyundai Elantra 2.0 SX (O) AT,"73,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 12.75 Lakh
2018 Mercedes-Benz GLE 250 d,"95,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 27.5 Lakh
2017 Skoda Superb L&K TSI AT,"41,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 15.5 Lakh
2018 Skoda Superb Style TSI AT,"54,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2018 Skoda Octavia 2.0 TDI L&K,"65,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 15.25 Lakh
2013 BMW 5-Series 525d Sedan,"45,000 km  |  Diesel + 1  |  Thaltej, Ahmedabad",Rs. 12.5 Lakh
2013 Porsche Cayenne Diesel,"1,35,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 19 Lakh
2018 Ford Endeavour Titanium 2.2 4x2 AT,"89,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 24.5 Lakh
2017 Audi Q7 45 TDI Technology Pack,"85,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 34.75 Lakh
2023 Volvo XC90 B6 Ultimate [2022-2023],"14,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 79.5 Lakh
2013 BMW 5-Series 520d Sedan,"73,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 8.9 Lakh
2022 Hyundai Creta EX 1.5 Diesel [2020-2022],"58,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 10.9 Lakh
2019 Toyota Fortuner 2.8 4x2 AT [2016-2020],"81,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 27 Lakh
2015 Mercedes-Benz E-Class E 250 CDI Edition E,"89,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 14.9 Lakh
2018 Volvo XC40 Inscription,"93,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 22.5 Lakh
2020 BMW X3 xDrive 20d Luxury Line [2018-2020],"33,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 39.9 Lakh
2023 Skoda Kushaq Ambition 1.0 TSI AT,"48,916 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 11 Lakh
2021 Hyundai Creta SX 1.4 Turbo 7 DCT,"89,258 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 11.1 Lakh
2018 Hyundai Creta SX 1.6 AT Petrol,"76,429 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 9.25 Lakh
2018 Honda City VX CVT Petrol,"42,779 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 8.6 Lakh
2022 Kia Seltos GTX Plus 1.5 Diesel AT Dual Tone,"40,720 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 15 Lakh
2019 Hyundai Creta SX 1.6 AT Petrol,"39,101 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 10.25 Lakh
2021 Hyundai Creta SX 1.5 Diesel Executive,"73,072 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2021 Tata Harrier XTA Plus Dark Edition,"93,264 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2021 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,"58,227 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 5.25 Lakh
2019 Honda City V,"48,319 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 7.25 Lakh
2019 Honda City V,"48,319 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 7.25 Lakh
2016 Hyundai Creta SX Plus 1.6  Petrol,"92,650 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 7.2 Lakh
2019 Honda WR-V VX MT Petrol,"20,146 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 7.35 Lakh
2019 MG Hector Sharp 1.5 DCT Petrol [2019-2020],"66,776 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 10.5 Lakh
2023 Kia Seltos HTE 1.5 Diesel iMT [2023-2024],"51,885 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 11 Lakh
2018 Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],"51,062 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 6.35 Lakh
2023 Hyundai Grand i10 NIOS Sportz 1.2 Kappa AMT,"33,750 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 6.65 Lakh
2020 Ford Ecosport Titanium + 1.5L TDCi,"94,330 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 7.33 Lakh
2024 Maruti Suzuki Swift ZXi CNG,"51,803 km  |  CNG  |  Makarba, Ahmedabad",Rs. 7.75 Lakh
2022 Maruti Suzuki Vitara Brezza ZXi [2023-2025],"67,387 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 9.65 Lakh
2020 Volkswagen Polo Highline Plus 1.0L TSI AT,"49,415 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 7.25 Lakh
2022 Skoda Slavia Style 1.0L TSI AT,"20,419 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 12.51 Lakh
2022 MG Astor Sharp 1.5 CVT Old Generation [2021-2023],"9,475 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 11.5 Lakh
2017 Honda Amaze 1.2 VX AT i-VTEC,"70,622 km  |  Petrol + 1  |  Bopal, Ahmedabad",Rs. 4.5 Lakh
2017 Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],"75,787 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 7.4 Lakh
2020 Jeep Compass Limited Plus 2.0 Diesel 4x4 AT,"97,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 12.75 Lakh
2021 Hyundai Elantra 2.0 SX (O) AT,"73,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 12.75 Lakh
2018 Mercedes-Benz GLE 250 d,"95,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 27.5 Lakh
2017 Skoda Superb L&K TSI AT,"41,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 15.5 Lakh
2018 Skoda Superb Style TSI AT,"54,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2018 Skoda Octavia 2.0 TDI L&K,"65,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 15.25 Lakh
2013 BMW 5-Series 525d Sedan,"45,000 km  |  Diesel + 1  |  Thaltej, Ahmedabad",Rs. 12.5 Lakh
2013 Porsche Cayenne Diesel,"1,35,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 19 Lakh
2018 Ford Endeavour Titanium 2.2 4x2 AT,"89,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 24.5 Lakh
2021 Tata Harrier XZA Plus Dark Edition,"55,700 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2016 Porsche Cayenne Diesel,"50,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 42.5 Lakh
2021 Tata Harrier XZA Plus Camo,"58,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2023 Mercedes-Benz A-Class Limousine 200d,"8,900 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 36.9 Lakh
2023 Volkswagen Virtus Topline 1.0 TSI AT,"24,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2014 Volvo XC60 Summum D5,"1,62,700 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 7.5 Lakh
2017 Audi A3 35 TDI Premium,"74,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 9.9 Lakh
2024 Toyota Vellfire VIP – Executive Lounge Hybrid (Electric + Petrol) Automatic,"31,000 km  |  Hybrid (Electric + Petrol)  |  Thaltej, Ahmedabad",Rs. 1.3 Crore
2015 Honda City V Diesel,"58,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 4.5 Lakh
2020 Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],"75,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 9.9 Lakh
2015 Hyundai Creta SX Plus 1.6  Petrol,"58,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 6.75 Lakh
2023 Kia Carens Luxury (O)1.5 Turbo Petrol DCT 7 STR [2023-2024],"18,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 14.5 Lakh
2024 Audi Q3 40 TFSI Technology [2022-2024],"23,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 37.5 Lakh
2023 Volkswagen Taigun Topline 1.0 TSI MT,"21,500 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 11.9 Lakh
2022 Mahindra Thar LX Convertible Top Diesel AT 4WD,"21,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 12.9 Lakh
2022 Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],"82,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 7 Lakh
2016 Honda Jazz V Petrol,"55,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 3.9 Lakh
2021 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],"51,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2023 Kia Seltos HTX 1.5 Diesel AT,"51,680 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 16 Lakh
2018 Audi A6 35 TDI Matrix,"69,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 23.9 Lakh
2018 Hyundai Creta SX 1.6 CRDi,"68,297 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 10.5 Lakh
2015 Maruti Suzuki Ciaz VXi+,"76,753 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 5.11 Lakh
2017 Maruti Suzuki Baleno Zeta 1.2 AT,"56,051 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 5.5 Lakh
2019 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"1,15,757 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 16 Lakh
2017 Audi Q7 45 TDI Technology Pack,"85,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 34.75 Lakh
2023 Volvo XC90 B6 Ultimate [2022-2023],"14,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 79.5 Lakh
2013 BMW 5-Series 520d Sedan,"73,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 8.9 Lakh
2022 Hyundai Creta EX 1.5 Diesel [2020-2022],"58,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 10.9 Lakh
2019 Toyota Fortuner 2.8 4x2 AT [2016-2020],"81,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 27 Lakh
2015 Mercedes-Benz E-Class E 250 CDI Edition E,"89,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 14.9 Lakh
2018 Volvo XC40 Inscription,"93,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 22.5 Lakh
2020 BMW X3 xDrive 20d Luxury Line [2018-2020],"33,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 39.9 Lakh
2021 Tata Harrier XZA Plus Dark Edition,"55,700 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2016 Porsche Cayenne Diesel,"50,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 42.5 Lakh
2021 Tata Harrier XZA Plus Camo,"58,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2023 Mercedes-Benz A-Class Limousine 200d,"8,900 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 36.9 Lakh
2023 Volkswagen Virtus Topline 1.0 TSI AT,"24,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2014 Volvo XC60 Summum D5,"1,62,700 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 7.5 Lakh
2017 Audi A3 35 TDI Premium,"74,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 9.9 Lakh
2024 Toyota Vellfire VIP – Executive Lounge Hybrid (Electric + Petrol) Automatic,"31,000 km  |  Hybrid (Electric + Petrol)  |  Thaltej, Ahmedabad",Rs. 1.3 Crore
2015 Honda City V Diesel,"58,000 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 4.5 Lakh
2020 Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],"75,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 9.9 Lakh
2015 Hyundai Creta SX Plus 1.6  Petrol,"58,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 6.75 Lakh
2023 Kia Carens Luxury (O)1.5 Turbo Petrol DCT 7 STR [2023-2024],"18,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 14.5 Lakh
2024 Audi Q3 40 TFSI Technology [2022-2024],"23,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 37.5 Lakh
2023 Volkswagen Taigun Topline 1.0 TSI MT,"21,500 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 11.9 Lakh
2013 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"90,374 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 3.25 Lakh
2018 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,"61,526 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 4.5 Lakh
2015 Hyundai i20 Active 1.2 Base,"70,818 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 4.6 Lakh
2017 Honda Jazz S Petrol,"74,110 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 4.5 Lakh
2022 Hyundai Creta SX (O) 1.5 Diesel AT,"40,745 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 15.9 Lakh
2018 Maruti Suzuki Ciaz Alpha 1.4 MT,"76,409 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 6 Lakh
2021 Hyundai Alcazar Platinum 7 STR 1.5 Diesel,"17,926 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 17.25 Lakh
2023 Hyundai Creta SX 1.5 Petrol CVT,"48,242 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 13.5 Lakh
2018 Maruti Suzuki Swift ZXi AMT [2018-2019],"60,203 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 5.2 Lakh
2021 Hyundai Creta E 1.5 Diesel [2020-2022],"61,870 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 10.9 Lakh
2019 Maruti Suzuki Alto VXI,"54,647 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 3.25 Lakh
2021 Toyota Fortuner 4X2 2WD Diesel Turbo Automatic Dual Tone,"88,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 32.5 Lakh
2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"74,778 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 4 Lakh
2017 Hyundai Creta SX Plus 1.6  Petrol,"82,596 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 7 Lakh
2017 Honda City ZX CVT Petrol [2017-2019],"71,132 km  |  Petrol  |  Vastral, Ahmedabad",Rs. 6.1 Lakh
2017 Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],"1,01,500 km  |  Diesel  |  Vastral, Ahmedabad",Rs. 17 Lakh
2021 BMW X3 xDrive 30i Luxury Line [2018-2019],"55,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 38.9 Lakh
2008 Hummer H2 SUV,"35,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 98 Lakh
2023 Hyundai Creta SX 1.5 Petrol CVT,"48,100 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 13.75 Lakh
2015 Honda City SV CVT,"60,804 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 5.11 Lakh
2022 Hyundai Creta S Plus 1.5 Petrol Knight Dual Tone,"27,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 11.9 Lakh
2021 Tata Harrier XZA Plus,"90,687 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 14 Lakh
2015 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2016-2017],"53,263 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 4.25 Lakh
2023 Jeep Meridian Limited (O) 4X4 AT [2022],"40,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 25.9 Lakh
2022 Mahindra Thar LX Convertible Top Diesel AT 4WD,"21,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 12.9 Lakh
2022 Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],"82,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 7 Lakh
2016 Honda Jazz V Petrol,"55,000 km  |  Petrol  |  Thaltej, Ahmedabad",Rs. 3.9 Lakh
2021 Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],"51,000 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 14.9 Lakh
2023 Kia Seltos HTX 1.5 Diesel AT,"51,680 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 16 Lakh
2018 Audi A6 35 TDI Matrix,"69,000 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 23.9 Lakh
2018 Hyundai Creta SX 1.6 CRDi,"68,297 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 10.5 Lakh
2015 Maruti Suzuki Ciaz VXi+,"76,753 km  |  Petrol  |  Makarba, Ahmedabad",Rs. 5.11 Lakh
2017 Maruti Suzuki Baleno Zeta 1.2 AT,"56,051 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 5.5 Lakh
2019 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"1,15,757 km  |  Diesel  |  Bopal, Ahmedabad",Rs. 16 Lakh
2013 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],"90,374 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 3.25 Lakh
2018 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,"61,526 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 4.5 Lakh
2015 Hyundai i20 Active 1.2 Base,"70,818 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 4.6 Lakh
2017 Honda Jazz S Petrol,"74,110 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 4.5 Lakh
2022 Hyundai Creta SX (O) 1.5 Diesel AT,"40,745 km  |  Diesel  |  Makarba, Ahmedabad",Rs. 15.9 Lakh
2018 Maruti Suzuki Ciaz Alpha 1.4 MT,"76,409 km  |  Petrol  |  Bopal, Ahmedabad",Rs. 6 Lakh
2021 Hyundai Alcazar Platinum 7 STR 1.5 Diesel,"17,926 km  |  Diesel  |  Thaltej, Ahmedabad",Rs. 17.25 Lakh
